protein_id	human-baboon	human-cow	human-dog	human-mouse	human-opossum	baboon-cow	baboon-dog	baboon-mouse	baboon-opossum	cow-dog	cow-mouse	cow-opossum	dog-mouse	dog-opossum	mouse-opossum
A2A288	0.057168	0.331573	0.324010	0.432964	0.666672	0.328456	0.320666	0.445056	0.647940	0.271255	0.481520	0.639811	0.463817	0.600252	0.748952
A2A2V5	0.017619	0.026373	0.026500	0.035313	0.054670	0.035372	0.035543	0.044403	0.063893	0.026257	0.044107	0.072759	0.044320	0.073121	0.053288
A2A2Y4	0.020251	0.045444	0.033064	0.089802	0.191787	0.044810	0.039122	0.096246	0.111205	0.034864	0.092066	0.199589	0.093730	0.202055	0.241933
A2A3K4	0.058235	0.201758	0.267879	0.211845	0.405514	0.239089	0.249193	0.249621	0.372338	0.232394	0.234937	0.387768	0.283060	0.399642	0.436569
A2A3L6	0.065387	0.414186	0.234288	0.494181	0.761042	0.400861	0.233495	0.478438	0.726904	0.266230	0.771582	0.939858	0.381958	0.407066	0.845107
A2AJT9	0.023745	0.325915	0.230076	0.453144	0.505440	0.322656	0.228000	0.457161	0.499718	0.298512	0.563880	0.616901	0.484545	0.529590	0.705085
A2PYH4	0.043137	0.150869	0.142782	0.258805	0.294243	0.168901	0.165139	0.271721	0.306870	0.145318	0.282615	0.299546	0.272695	0.307778	0.366496
A2RRH5	0.056359	0.478445	0.388573	0.503865	0.506488	0.487014	0.394561	0.517263	0.538078	0.511223	0.600911	0.657806	0.555375	0.549077	0.637475
A2RRP1	0.024118	0.138856	0.108633	0.154714	0.339655	0.142992	0.112423	0.159254	0.341849	0.152299	0.216662	0.360397	0.169328	0.335443	0.374097
A2RTX5	0.033324	0.209375	0.120248	0.144434	0.254878	0.205473	0.110601	0.145938	0.254208	0.227068	0.258201	0.389806	0.142802	0.244668	0.253998
A2RU14	0.037170	0.224077	0.164749	0.234657	0.552596	0.179099	0.152139	0.220589	0.817207	0.136896	0.230026	0.563415	0.128156	0.497323	0.553815
A2RU48	0.030284	0.083879	0.070235	0.156454	0.255451	0.079788	0.075295	0.147236	0.261590	0.056645	0.144480	0.231583	0.144628	0.240475	0.292717
A2RU49	0.057025	0.141863	0.288840	0.224895	0.396129	0.162727	0.313450	0.243510	0.404742	0.258704	0.200467	0.409307	0.342794	0.458982	0.450003
A2RU54	0.026625	0.057783	0.054062	0.065680	0.216018	0.057698	0.057854	0.069458	0.214552	0.030515	0.049784	0.208289	0.046067	0.200663	0.218603
A2RU67	0.012978	0.127201	0.099457	0.135655	0.301346	0.124239	0.103110	0.141187	0.310475	0.134599	0.174323	0.369036	0.162572	0.326266	0.346161
A2RUB1	0.032227	0.093519	0.087252	0.118033	0.097059	0.083181	0.074647	0.099252	0.080014	0.057515	0.094751	0.075676	0.098074	0.070504	0.094243
A2RUB6	0.033377	0.229170	0.210259	0.352828	0.569854	0.219381	0.207408	0.346458	0.570360	0.228161	0.387872	0.613203	0.374439	0.545368	0.682102
A2RUC4	0.365098	0.081643	0.057752	0.119345	0.177901	0.438351	0.419251	0.490229	0.509737	0.061267	0.129600	0.180961	0.130218	0.165678	0.216382
A2RUS2	0.093662	0.255659	0.268964	0.234305	0.383518	0.269318	0.258187	0.223411	0.356037	0.224359	0.293596	0.704897	0.295783	0.728531	0.423648
A2RUT3	0.040223	0.487413	0.509900	0.602781	0.998404	0.469453	0.507568	0.577206	1.001782	0.370770	0.561280	1.340819	0.539692	0.963770	1.085512
A2VDF0	0.055916	0.235870	0.481946	0.240657	0.405584	0.252426	0.504254	0.239349	0.428311	0.499199	0.361148	0.368207	0.604993	0.674326	0.389419
A2VDJ0	0.046734	0.196816	0.120763	0.250199	0.338588	0.217461	0.133511	0.264446	0.341763	0.170208	0.289885	0.385823	0.232089	0.327990	0.434570
A3KMH1	0.017933	0.094863	0.085833	0.147833	0.188687	0.093960	0.089630	0.151207	0.190947	0.092988	0.164064	0.192882	0.161395	0.187987	0.222675
A3KN83	0.002810	0.019079	0.014512	0.024900	0.047404	0.019078	0.012976	0.024190	0.046668	0.012180	0.023429	0.045868	0.020659	0.041192	0.048140
A4D0V7	0.044479	0.205765	0.235154	0.302112	0.359477	0.209520	0.233244	0.318138	0.369936	0.250169	0.347699	0.383099	0.364170	0.440384	0.527285
A4D126	0.078045	0.198916	0.185497	0.300887	0.508852	0.244796	0.262278	0.426990	0.756868	0.157769	0.328377	0.505369	0.309065	0.536591	0.609719
A4D1B5	0.040725	0.246012	0.185705	0.289198	0.425125	0.243210	0.179995	0.285144	0.419882	0.238824	0.375746	0.483746	0.300583	0.407063	0.515093
A4D1E1	0.057778	0.283404	0.270628	0.389692	0.870562	0.273668	0.262761	0.383483	0.840776	0.270856	0.460152	0.876871	0.437677	0.855616	1.059922
A4D1E9	0.053724	0.119433	0.141572	0.203730	0.307361	0.110626	0.148047	0.194394	0.313494	0.103104	0.213618	0.311298	0.225135	0.324899	0.324203
A4D1F6	0.035044	0.243048	0.229431	0.419595	0.799384	0.249004	0.238506	0.428419	0.809696	0.232608	0.454815	0.833612	0.455286	0.798029	0.827973
A4D1P6	0.009445	0.065621	0.061356	0.078526	0.140287	0.068538	0.064265	0.078478	0.140304	0.066711	0.103811	0.162595	0.100724	0.142486	0.155296
A4D1S0	0.117416	0.471227	0.408769	0.491248	0.814755	0.491755	0.432304	0.517771	0.840662	0.379988	0.541296	0.780268	0.505696	0.758309	0.806594
A4D1S5	0.022690	0.124068	0.109845	0.113088	0.161849	0.109286	0.095133	0.108420	0.151286	0.146316	0.148173	0.186381	0.140796	0.171293	0.184805
A4D1T9	0.030622	0.185040	0.155410	0.192041	0.554999	0.195022	0.150915	0.181392	0.557441	0.169240	0.267512	0.582178	0.192300	0.555394	0.631404
A4D1U4	0.004602	0.040385	0.054364	0.039946	0.106393	0.037874	0.049537	0.042298	0.106445	0.045257	0.057397	0.112688	0.066738	0.126771	0.124793
A4D1Z8	0.263891	0.268054	0.268856	0.274339	0.680624	0.296160	0.322835	0.331042	0.672505	0.118222	0.225678	0.525251	0.176918	0.504306	0.595838
A4D263	0.032400	0.180384	0.251155	0.293437	0.702626	0.180150	0.245652	0.286111	0.705839	0.087852	0.234178	0.482027	0.352230	0.738939	0.726122
A4D2B0	0.056787	0.193897	0.132491	0.332865	0.386350	0.212401	0.151907	0.339628	0.393802	0.119934	0.319594	0.424207	0.257803	0.367917	0.426567
A4D2P6	0.019442	0.081237	0.054797	0.090301	0.318631	0.080500	0.054954	0.086131	0.314216	0.064266	0.105933	0.325415	0.075234	0.267085	0.341790
A4FU01	0.023709	0.097795	0.111914	0.146211	0.287768	0.102331	0.119828	0.154303	0.299627	0.103446	0.164539	0.296645	0.169046	0.308580	0.364633
A4FU69	0.057106	0.583173	0.322267	0.450423	0.960789	0.577326	0.326205	0.439658	0.946684	0.526742	0.956543	1.593848	0.506481	0.988454	1.005527
A4IF30	0.015394	0.068690	0.095420	0.115083	0.140508	0.066415	0.092124	0.111535	0.137811	0.055588	0.074835	0.098757	0.039411	0.124050	0.129208
A4QMS7	0.049399	0.233445	0.229274	0.317601	0.513467	0.219795	0.236514	0.560146	0.539139	0.162551	0.312426	0.451418	0.345437	0.508074	0.565871
A4UGR9	0.055139	0.208223	0.272867	0.322270	0.474988	0.218579	0.287976	0.333796	0.480017	0.257291	0.355456	0.483641	0.424069	0.541046	0.579566
A5D6W6	0.007419	0.026321	0.014856	0.041923	0.081618	0.018703	0.007389	0.034124	0.077627	0.026216	0.049247	0.081798	0.037778	0.081393	0.099384
A5D8V6	0.042865	0.178331	0.173896	0.212003	0.463462	0.181388	0.161837	0.185081	0.428226	0.143765	0.217459	0.473882	0.200160	0.448164	0.461688
A5D8V7	0.058042	0.292060	0.301063	0.401510	0.641680	0.284256	0.301065	0.389404	0.675198	0.240091	0.383717	0.667061	0.404144	0.644430	0.719741
A5D8W1	0.034514	0.141801	0.124548	0.184305	0.388268	0.146747	0.127014	0.186832	0.394814	0.117835	0.206499	0.393656	0.190680	0.388703	0.430147
A5LHX3	0.017033	0.143083	0.156815	0.187692	0.282623	0.138134	0.156371	0.191354	0.284418	0.184820	0.181528	0.250908	0.234571	0.311834	0.268865
A5PKW4	0.010989	0.058669	0.049945	0.080950	0.206062	0.061635	0.052860	0.087038	0.209245	0.046778	0.099177	0.206640	0.090264	0.206369	0.232307
A5PL33	0.080047	0.584422	0.446348	0.536818	1.045190	0.564940	0.442974	0.526062	1.055169	0.566731	0.730890	1.231254	0.675169	1.093819	1.158246
A5PLK6	0.071707	0.299789	0.269484	0.401991	0.842271	0.297841	0.260719	0.388994	0.828045	0.243403	0.420582	0.848511	0.390230	0.806548	0.902904
A5PLL1	0.026844	0.108356	0.123914	0.190703	0.243066	0.117041	0.119656	0.184595	0.241627	0.129300	0.208046	0.247486	0.206612	0.262113	0.283921
A5PLL7	0.011819	0.106653	0.064422	0.082843	0.223859	0.102115	0.060145	0.082115	0.218198	0.073021	0.112334	0.228557	0.090684	0.216990	0.232470
A5PLN7	0.121187	0.387904	0.438484	0.427345	0.680793	0.381332	0.426481	0.443085	0.715283	0.382188	0.421996	0.649294	0.450438	0.801205	0.660697
A5PLN9	0.007073	0.018965	0.016594	0.033448	0.055782	0.018972	0.018910	0.031012	0.055391	0.004723	0.028667	0.050377	0.026254	0.052860	0.058316
A5YKK6	0.005185	0.002516	0.002982	0.005882	0.019833	0.006916	0.007656	0.009238	0.025530	0.002128	0.004619	0.018974	0.005115	0.019271	0.022389
A5YM72	0.023209	0.103731	0.104343	0.185978	0.280815	0.113240	0.109975	0.186799	0.301662	0.092581	0.196295	0.307907	0.199257	0.305454	0.364498
A6H8Y1	0.076045	0.411927	0.380977	0.551788	0.987072	0.410343	0.380813	0.536066	0.977852	0.396778	0.626093	1.038739	0.608411	0.990330	1.082776
A6NC05	0.096624	0.916795	0.996493	0.998121	1.332710	0.870197	0.967470	0.949960	1.227695	0.100386	0.201034	0.325527	0.241201	0.353177	0.334098
A6NC51	0.318861	0.300246	0.278413	0.371826	0.556144	0.565595	0.542047	0.624467	0.759785	0.308275	0.467525	0.570154	0.434043	0.545705	0.682519
A6NC86	0.126986	0.997788	0.656669	0.653944	0.931076	1.067023	0.668691	0.662937	1.043751	0.856314	0.936096	1.281081	0.235696	0.586662	0.603289
A6NCF5	0.038018	0.112160	0.336221	0.173773	0.338547	0.186119	0.342260	0.179835	0.409366	0.333511	0.197304	0.411634	0.402933	0.473094	0.400069
A6NCI4	0.046484	0.274784	0.232515	0.322371	0.558054	0.275716	0.235285	0.322973	0.565646	0.246773	0.373573	0.607309	0.339432	0.570948	0.603881
A6NCI8	0.070726	0.324983	0.296886	0.723787	0.651288	0.309208	0.272979	0.722004	0.638748	0.237452	0.678156	0.607872	0.680154	0.602186	0.944558
A6NCJ1	0.134647	0.278797	0.251920	0.579973	0.879697	0.293159	0.271807	0.575509	0.879825	0.187142	0.507583	0.843493	0.552194	0.864605	1.075135
A6NCL1	0.042470	0.139842	0.144393	0.243305	0.468153	0.163848	0.163205	0.245726	0.476638	0.133421	0.302967	0.478003	0.272813	0.477587	0.596332
A6NCL2	0.186551	0.696353	0.804985	0.854460	1.130721	0.694347	0.808529	0.842634	1.078994	0.769301	0.924056	1.196226	0.932368	1.553913	1.119986
A6NCL7	0.043600	0.233844	0.237045	0.273101	0.478445	0.248482	0.256938	0.280526	0.473631	0.144093	0.213724	0.471878	0.206157	0.441915	0.469655
A6NCN8	0.037959	0.382273	0.344491	0.471667	0.927121	0.389490	0.343032	0.496255	0.946583	0.402699	0.574604	1.002630	0.572842	0.965077	1.020058
A6NCQ9	0.027653	0.155774	0.129292	0.151434	0.282451	0.183344	0.129969	0.151917	0.286869	0.141535	0.155180	0.306540	0.136184	0.257443	0.266548
A6NCS4	0.056565	0.346390	0.357413	0.567787	0.434634	0.360346	0.360974	0.575368	0.455657	0.393285	0.650165	0.440332	0.693089	0.537733	0.477180
A6NCV1	0.048274	0.134946	0.132127	0.119034	0.161913	0.139989	0.147112	0.137207	0.170258	0.154740	0.151838	0.178671	0.160758	0.189992	0.170834
A6ND01	0.044315	0.427705	0.406938	0.460013	0.600776	0.430846	0.417473	0.466171	0.637427	0.351457	0.557155	0.665858	0.622273	0.673539	0.810018
A6ND36	0.052232	0.197777	0.177591	0.211815	0.385365	0.203342	0.189448	0.231841	0.391060	0.196395	0.261450	0.410747	0.265455	0.396833	0.444011
A6NDA9	0.060495	0.258561	0.326624	0.338412	0.575400	0.262271	0.347185	0.346306	0.601756	0.338792	0.392009	0.594588	0.475922	0.598154	0.641509
A6NDD5	0.021692	0.123672	0.131972	0.120991	0.511691	0.132810	0.141053	0.125580	0.500577	0.117146	0.139962	0.503537	0.155334	0.515456	0.522082
A6NDG6	0.012954	0.101701	0.059650	0.101577	0.160009	0.098721	0.059989	0.099140	0.157669	0.083116	0.115588	0.182427	0.112986	0.170352	0.178239
A6NDL7	0.031927	0.211379	0.190838	0.179526	0.240821	0.203748	0.194599	0.190311	0.257782	0.222040	0.218850	0.261221	0.182544	0.248754	0.253170
A6NDP7	0.031189	0.100686	0.091913	0.092602	0.219687	0.101807	0.082256	0.100424	0.221996	0.078299	0.098683	0.197588	0.091761	0.199342	0.224949
A6NDU8	0.010544	0.095981	0.081231	0.122504	0.437995	0.095610	0.080995	0.126946	0.438689	0.057758	0.161242	0.445076	0.148666	0.419406	0.472303
A6NDV4	0.004446	0.031487	0.026963	0.038665	0.124173	0.031474	0.026952	0.038649	0.126202	0.022435	0.034060	0.116006	0.034086	0.114002	0.111421
A6NE52	0.083186	0.579599	0.416737	0.589481	0.880688	0.542824	0.412119	0.592759	0.881746	0.411675	0.970998	1.377639	0.609804	0.956966	1.063370
A6NEE1	0.005908	0.023817	0.019804	0.046025	0.072916	0.029855	0.021816	0.050132	0.077131	0.031874	0.052451	0.079381	0.054231	0.075003	0.085707
A6NEH6	0.038786	0.221664	0.200496	0.435317	0.597456	0.337795	0.218469	0.418806	0.663562	0.185671	0.376537	0.597424	0.347972	0.594766	0.702563
A6NEQ2	0.045222	0.171308	0.191180	0.243402	0.445738	0.165958	0.191626	0.227043	0.430109	0.211024	0.305362	0.511986	0.327989	0.495627	0.525415
A6NES4	0.050018	0.235983	0.183478	0.225669	0.667792	0.232490	0.191250	0.225684	0.675465	0.174901	0.242438	0.687944	0.203398	0.636160	0.637978
A6NEY8	0.030717	0.049903	0.165208	0.069200	0.174374	0.379672	0.183080	0.068436	0.176786	0.160165	0.063064	0.162239	0.186787	0.241873	0.197618
A6NF36	0.026886	0.194294	0.184015	0.178359	0.461521	0.210527	0.199613	0.185690	0.461126	0.190157	0.262193	0.459382	0.246727	0.433499	0.437942
A6NF83	0.142928	0.334301	0.306157	0.337107	0.535548	0.407307	0.384546	0.395126	0.573936	0.324036	0.374111	0.462727	0.371906	0.465142	0.518062
A6NFA1	0.021574	0.098101	0.178969	0.104820	0.276642	0.100238	0.178053	0.106377	0.272979	0.147232	0.093302	0.271246	0.167519	0.255658	0.260272
A6NFD8	0.008546	0.070543	0.065868	0.080889	0.103252	0.079451	0.074735	0.085139	0.112349	0.061295	0.103882	0.130002	0.094258	0.121015	0.136370
A6NFE3	0.048283	0.303838	0.257827	0.378357	0.774687	0.296286	0.242384	0.323957	0.746230	0.294944	0.435493	0.800009	0.434531	0.792214	0.872506
A6NFI3	0.037103	0.135908	0.144564	0.206326	0.361917	0.149096	0.152812	0.211995	0.370848	0.126653	0.212503	0.367034	0.200471	0.367553	0.426665
A6NFN3	0.003587	0.028993	0.014442	0.032717	0.060316	0.025024	0.012471	0.031469	0.063584	0.018724	0.050658	0.070628	0.034675	0.070660	0.107233
A6NFN9	0.026390	0.186628	0.224538	0.160852	0.519011	0.170771	0.231047	0.160851	0.537990	0.225779	0.237869	0.549218	0.249826	0.540716	0.486566
A6NFQ2	0.036548	0.231775	0.234928	0.310253	0.465261	0.229176	0.228748	0.313187	0.468298	0.241238	0.332777	0.452524	0.358572	0.461606	0.532044
A6NFU0	0.043481	0.158323	0.176752	0.251051	0.378099	0.160496	0.172450	0.243868	0.355147	0.158741	0.254000	0.357156	0.245394	0.360302	0.428674
A6NFU8	0.213373	0.607564	0.476838	0.374272	0.498019	0.543738	0.398410	0.382106	0.393879	0.625355	0.343602	0.668957	0.490023	0.592292	0.547840
A6NFY4	0.040694	0.384457	0.311173	0.357980	0.533151	0.375326	0.289688	0.347563	0.522142	0.422639	0.471202	0.588682	0.439761	0.562538	0.614725
A6NFY7	0.027093	0.231217	0.198146	0.229701	0.609704	0.215678	0.175303	0.216393	0.608067	0.212347	0.320550	0.646951	0.270418	0.635387	0.694963
