A0A087WTH1_human A0A2I3MPH4_baboon A0A3Q1MFP3_cow A0A5F8HGV3_opossum A0A8I3NQU2_dog E9Q8G3_mouse
A0A096MYT8_baboon A0A1B0GW64_human A0A5F8GED1_opossum A0A8I3RR62_dog E1B8N0_cow Q3TS39_mouse
A0A096P0E7_baboon A0A140LJJ2_mouse A0A1B0GWB2_human A0A3Q1LKZ1_cow A0A5F8HDH8_opossum A0A8I3P309_dog
A0A1B0GSU5_mouse A0A3B3IT45_human A0A3Q1MT58_cow A0A5F8G2E4_opossum A0A8I3NKV7_dog A0A8I5N9H8_baboon
A0A096NN08_baboon A0A3B3IU46_human A0A8I3MK33_dog F6WSP2_opossum Q3T050_cow Q9CQY2_mouse
A0A8I3NR16_dog A0A8I5NGD4_baboon A0AUZ9_human F7FDX6_opossum G3MY36_cow Q5DTI6_mouse
A0A2I3MJ08_baboon A0A8I3PV21_dog A0AV02_human F1MKC8_cow F6RFS3_opossum Q8VI23_mouse
A0A2I3MYY2_baboon A0AV96_human F6RYN2_cow F7BKF6_opossum Q91WT8_mouse Q9XSR3_dog
A0A096N2P4_baboon A0A8I3SCY0_dog A0AVF1_human F1MF33_cow F6UBB7_opossum Q8BS45_mouse
A0A8I3MAC7_dog A0A8I5NWN7_baboon A0AVI4_human F6SY37_opossum Q08DK0_cow Q8K304_mouse
A0A096MSF3_baboon A0A8I3P386_dog A0AVK6_human E1BKK0_cow F7B2W5_opossum Q58FA4_mouse
A0A2I3MD09_baboon A0A8I3N4B5_dog A0AVT1_human F1ME38_cow F7AN44_opossum Q8C7R4_mouse
A0A3Q1M4B7_cow A0A5F8G274_opossum A0A8I3NZ32_dog A0A8I5N8Y9_baboon A0FGR8_human Q3TZZ7_mouse
A0A8I3PS13_dog A0A8I5N8L4_baboon A0FGR9_human F1MFH9_cow F7FRN0_opossum Q5DTI8_mouse
A0A3Q1LUX5_cow A0A8I3MEB8_dog A0A8I5N379_baboon A0JD36_human K7E1F2_opossum Q5R1A3_mouse
A0A096MS19_baboon A0A8I3PBY1_dog A0JLT2_human A7YWK4_cow F7EA17_opossum Q8C1S0_mouse
A0A2I3LJY5_baboon A0A8I3N139_dog A0JNW5_human A2RSJ4_mouse F1N099_cow F7DNJ1_opossum
A0A096NTV1_baboon A0A3Q1MCX8_cow A0A8I3QQN2_dog A0MZ66_human F7FNL5_opossum Q8K2Q9_mouse
A0A096N7N8_baboon A0A8I3PN12_dog A0PG75_human F1MS74_cow F6TIV9_opossum J3QM92_mouse
A0A096P339_baboon A0A8I3PA80_dog A0PJK1_human F7F7X2_opossum Q5SWY8_mouse Q6R4Q5_cow
A0A096NWT9_baboon A0A8I3N3S6_dog A0PJW6_human A5PJW2_cow F7CLG9_opossum Q9CQE2_mouse
A0A2I3N621_baboon A0A5F8G6E2_opossum A0A8I3PXX8_dog A0PJW8_human A2VEA7_cow Q9D757_mouse
A0A096NYP8_baboon A0A3Q1M2G0_cow A0A8I3S6W1_dog A0PJX0_human F6ZS82_opossum Q9D9N5_mouse
A0A096NSC6_baboon A0A8I3QBZ8_dog A0PJX2_human A2ACG1_mouse F7C0A0_opossum Q0IID2_cow
A0A2I3N3X8_baboon A0A3Q1LRF6_cow A0A8I3NK59_dog A0PJX4_human F7A177_opossum Q3UPR0_mouse
A0A096MSM1_baboon A0A8I3NAB7_dog A0PJX8_human E1BAB8_cow F7GCD0_opossum Q8R115_mouse
A0A3Q1MFW1_cow A0A8I3RV76_dog A0A8I5MYG6_baboon A0PJZ3_human F7GIX8_opossum Q810K9_mouse
A0A3Q1M5J2_cow A0A8I3SAD1_dog A0A8I5N7D4_baboon A0PK05_human F6USU5_opossum Q8C3K5_mouse
A0A096NZH9_baboon A0A8I3MI40_dog A0PK11_human B2RVW2_mouse F7AVP6_opossum G5E553_cow
A0A096NYJ4_baboon A0A8I3PBX8_dog A0ZSE6_human F7DFY5_opossum Q2T9P5_cow Q9D4D7_mouse
A0A1B0GSK3_mouse A0A2I3MZN3_baboon A0A3Q1MJS4_cow A0A8I3NVX6_dog A1A4G5_human K7E0X4_opossum
A0A2I3MFF1_baboon A0A8I3NT54_dog A1A4S6_human F6RAJ5_opossum Q08DP6_cow Q6Y5D8_mouse
A0A096NHV4_baboon A0A8I3NQK0_dog A1A4V9_human F1MZI0_cow F7AMY3_opossum Q6NZQ0_mouse
A0A2I3MBF4_baboon A0A3Q1MCK5_cow A0A8I3S058_dog A1A5C7_human F6RGL7_opossum Q3UHH2_mouse
A0A096NL99_baboon A0A5F8HH11_opossum A0A8I3RR47_dog A1A5D9_human E1BM24_cow Q8CHW5_mouse
A0A096NSF7_baboon A0A5F8G2I4_opossum A1E959_human A1E960_mouse A1YQ91_dog A1YQ93_cow
A0A096NBB2_baboon A0A8I3N8C5_dog A1IGU4_mouse A1IGU5_human F1MJ96_cow F6VCA2_opossum
A0A8I3S0M5_dog A0A8I5N8N7_baboon A1KXE4_human A8E639_cow F7B2L4_opossum Q80XQ8_mouse
A0A096N0T7_baboon A0A8I3RVP9_dog A1L020_human E1B7I1_cow F6V673_opossum G3UYU0_mouse
A0A0A0MW49_baboon A0A8I3S0R4_dog A1L0T0_human A6QQT9_cow F7ERP5_opossum Q8BU33_mouse
A0A8I3PZS3_dog A0A8I5NBH9_baboon A1L157_human F6PSQ7_opossum Q0VC33_cow Q9D1D1_mouse
A0A5F8H9E4_opossum A0A8I3PRK0_dog A0A8I5MZX0_baboon A1L162_human A6QQ66_cow E9Q1A6_mouse
A0A096NC08_baboon A0A3Q1LGG5_cow A0A8I3PGY6_dog A0PJN4_mouse A1L167_human K7E0B4_opossum
A0A096NTE7_baboon A0A3Q1LVX2_cow A0A5F8GWB1_opossum A0A8I3RW67_dog A1L188_human A2AMZ4_mouse
A0A096NL54_baboon A0A5F8G5S8_opossum A0A8I3PUY0_dog A1L190_human B5KM66_mouse G3MY06_cow
A0A0A0MV59_baboon A0A8I3N1N6_dog A1L1A6_human B2RTN2_mouse F6QG81_opossum G3MY26_cow
A0A096NVL2_baboon A0A3Q1LX25_cow A0A8I3MPB7_dog A1L390_human F7BJH0_opossum Q4VAC9_mouse
A0A8I3N154_dog A0A8I5NFD4_baboon A0JNC4_cow A1L3X0_human F6QM63_opossum Q9D2Y9_mouse
A0A096MXJ7_baboon A0A8I3RVU0_dog A1L453_human F1MEA3_cow F6VXB0_opossum Q3UKY7_mouse
A0A096NN11_baboon A0A8I3MRI9_dog A1L4K1_human E1BJZ1_cow F6WSS4_opossum Q8BZ52_mouse
A0A2I3LYB4_baboon A0A3Q1LVH9_cow A0A8I3MDP6_dog A1X283_human A2AAY5_mouse F7BRI2_opossum
A0A2I3MP22_baboon A0A8I3RY46_dog A1XBS5_human F7BU56_opossum Q3SZG6_cow Q8BP22_mouse
A0A096NDG9_baboon A0A3Q1MCE6_cow A0A8I3PBH1_dog A1YPR0_human F7GKW2_opossum Q8VCZ7_mouse
A0A2I3LFI3_baboon A0A5F8H4G0_opossum A0A8I3NZK0_dog A2A288_human E1BLF6_cow Q8BIY3_mouse
A0A096N1B7_baboon A0A3Q1M8J8_cow A0A8I3PWG6_dog A2A2V5_human F6TPB8_opossum Q8CD78_mouse
A0A2I3LDB4_baboon A0A3Q1N4L4_cow A0A8I3RUT1_dog A2A2Y4_human F6PGZ8_opossum Q8BHD4_mouse
A0A2I3MUN5_baboon A0A3Q1M6Q3_cow A0A5F8H4C2_opossum A0A8I3PHE0_dog A2A3K4_human Q6NZK8_mouse
A0A096MRS2_baboon A0A5F8GMN4_opossum A0A8I3MZ81_dog A2A3L6_human E1BL14_cow Q8BYG0_mouse
A0A096MXY3_baboon A0A5F8HFQ4_opossum A0A8I3Q688_dog A2AG58_mouse A2AJT9_human F6QZC9_cow
A0A096MVR4_baboon A0A8I3NPZ6_dog A2PYH4_human D3Z4R1_mouse F1MFR1_cow F7ARR8_opossum
A0A096MX91_baboon A0A5F8H4H2_opossum A0A8I3MWR5_dog A2RRH5_human F1MLT6_cow Q8C5V5_mouse
A0A096NJC6_baboon A0A3Q1MF39_cow A0A8I3Q7F8_dog A2RRP1_human E9Q411_mouse F6VNR9_opossum
A0A096NNG8_baboon A0A8I3RQX5_dog A2RTX5_human A6QNM8_cow F7DDV7_opossum Q8BLY2_mouse
A0A8I3RYG6_dog A0A8I5R1J1_baboon A2RU14_human A5PJF4_cow F7DSU7_opossum Q9CQ44_mouse
A0A096MNT1_baboon A0A8I3PKH2_dog A2RU48_human E1BAP9_cow F6YV78_opossum Q8BQM7_mouse
A0A096NMV9_baboon A0A5F8GJY9_opossum A0A8I3NRE8_dog A2RU49_human A5PJU6_cow Q5U5V2_mouse
A0A8I3PRN8_dog A0A8I5NRZ1_baboon A2RU54_human E1BGA5_cow F7GAL2_opossum P43687_mouse
A0A2I3N5L5_baboon A0A8I3PEM2_dog A2RU67_human F1N5E1_cow K7E1Y8_opossum Q8BYI8_mouse
A0A096P632_baboon A0A8I3NIA2_dog A2AG06_mouse A2RUB1_human F1N524_cow F6RL13_opossum
A0A096NGG4_baboon A2RUB6_human F1MLR5_cow F1PZQ5_dog F6QHB6_opossum Q6NS45_mouse
A0A8I3SBB5_dog A0A8I5N592_baboon A2RSX7_mouse A2RUC4_human F1MKS9_cow F6PQ82_opossum
A0A3Q1MCL3_cow A0A5F8H6Q1_opossum A0A8I3NKB9_dog A0A8I5NX41_baboon A2RT67_mouse A2RUS2_human
A0A096MR73_baboon A0A5F8H9I3_opossum A0A8I3Q5U5_dog A2RUT3_human F1MVT3_cow Q9DA04_mouse
A0A096NSZ2_baboon A0A8I3PWT5_dog A2VDF0_human F1N1P7_cow F7ESI4_opossum Q8R2K1_mouse
A0A2I3MM25_baboon A0A8I3N604_dog A2VDJ0_human F6UU98_opossum G5E699_cow Q3U3D7_mouse
A0A096MX25_baboon A0A8I3NGG0_dog A3KMH1_human F1MIM5_cow F7D1Q3_opossum Q8CC88_mouse
A0A2I3N4B6_baboon A0A8I3S319_dog A3KN83_human E1BMP8_cow F6Q4J8_opossum Q689Z5_mouse
A0A096MSA8_baboon A0A5F8HHA4_opossum A0A8I3N5J3_dog A4D0V7_human B2RX70_mouse G3MWQ8_cow
A0A2I3LWY6_baboon A0A5F8H5U8_opossum A0A8I3PZD1_dog A4D126_human E1BCH6_cow Q5RJG7_mouse
A0A2I3M5Y8_baboon A0A3Q1MRC5_cow A0A8I3PH70_dog A4D1B5_human F6QD55_opossum Q3TCV3_mouse
A0A096NZW1_baboon A0A0G2JGH6_mouse A0A8I3NH30_dog A4D1E1_human F7AUT8_opossum G3N3V6_cow
A0A452DJB3_cow A0A8I3RWN0_dog A4D1E9_human B0CM27_baboon F7F7T0_opossum Q8K013_mouse
A0A096NZT1_baboon A0A8I3NBU5_dog A4D1F6_human E1BPT0_cow F7DPB1_opossum Q8C0R9_mouse
A0A2I3M9I1_baboon A0A8I3NB86_dog A4D1P6_human F7CEW7_opossum Q2HJE1_cow Q7TMQ7_mouse
A0A096N2P3_baboon A0A8I3QWC5_dog A4D1S0_human F1MYJ2_cow F6X8D4_opossum Q3UM83_mouse
A0A2I3LTI9_baboon A0A8I3Q624_dog A4D1S5_human F6UD73_opossum P35294_mouse Q3ZC27_cow
A0A096MM15_baboon A0A8I3Q844_dog A4D1T9_human F7G5G1_opossum Q32KU2_cow Q9DAA4_mouse
A0A096MYF8_baboon A0A8I3S7W5_dog A4D1U4_human F1MN85_cow F6VF55_opossum Q3UHG7_mouse
A0A096NY36_baboon A0A5F8G6P8_opossum A0A8I3N2M0_dog A4D1Z8_human E1BEM8_cow Q9D1U0_mouse
A0A096NEZ9_baboon A0A8I3NEL3_dog A4D263_human E1BP04_cow K7DZS2_opossum Q5NC83_mouse
A0A8I3MLW7_dog A0A8I5NKR5_baboon A4D2B0_human F7FC06_opossum Q2HJB0_cow Q8BWY4_mouse
A0A096NUI2_baboon A0A8I3RZH3_dog A4D2P6_human E1BFV9_cow F7AUL4_opossum Q0QWG9_mouse
A0A096MY03_baboon A0A3Q1MHJ1_cow A0A8I3NKJ9_dog A4FU01_human F7DXN5_opossum Q3V1L6_mouse
A0A096P3L1_baboon A0A8I3NK27_dog A0JP43_mouse A4FU69_human E1B7P6_cow F6VVB2_opossum
A0A096NVB4_baboon A0A8I3P4L3_dog A4IF30_human F1MGI4_cow F7AW98_opossum Q8BZK4_mouse
A0A096MV34_baboon A0A3Q1LU45_cow A0A5F8GNW1_opossum A0A8I3PD40_dog A4QMS7_human Q9DAR0_mouse
A0A5F8GTW9_opossum A0A8I3S0P5_dog A0A8I5NB85_baboon A4UGR9_human E1BL04_cow Q4U4S6_mouse
A0A096NX71_baboon A0A8I3MXT7_dog A5D6W6_human A7YWN2_cow F7GBQ2_opossum Q91V79_mouse
A0A8I3NRZ1_dog A0A8I5NTS3_baboon A5D8V6_human E1BC70_cow F7FWK6_opossum Q8R105_mouse
A0A0A0MVL2_baboon A0A5F8H624_opossum A0A8I3S3Q8_dog A5D8V7_human A7MBH5_cow Q8BSN3_mouse
A0A5F8HHR7_opossum A0A8I3NUA4_dog A5D8W1_human B0CM26_baboon E1BJW4_cow Q8BH53_mouse
A0A096MKX2_baboon A0A3Q1LKX5_cow A0A8I3MGM2_dog A5LHX3_human F7CZ29_opossum Q8BG41_mouse
A0A2I3N7S1_baboon A0A8I3PZ07_dog A5PKW4_human F7C6S5_opossum G5E560_cow Q5DTT2_mouse
A0A096N4I4_baboon A0A8I3RUK7_dog A5PL33_human E1B7G4_cow K7E5M2_opossum Q6NXZ1_mouse
A0A096N0S7_baboon A0A8I3MTW1_dog A5PLK6_human E1BC83_cow F6PGZ0_opossum H3BL40_mouse
A0A096NE46_baboon A0A5F8H9I8_opossum A0A8I3MV87_dog A5PLL1_human F1ME24_cow Q3UUF8_mouse
A0A8I3PSS6_dog A0A8I5MWB5_baboon A5PLL7_human A6QLM0_cow F7A615_opossum Q99LQ7_mouse
A0A3Q1LH09_cow A0A8I3PA90_dog A0A8I5MYY2_baboon A5PLN7_human F7C2Q6_opossum Q8CFV2_mouse
A0A2I3M197_baboon A0A5F8G3C5_opossum A0A8I3N472_dog A5PLN9_human A7MB76_cow Q3TIR1_mouse
A0A096NJ39_baboon A0A8I3MQ47_dog A5YKK6_human F1MHU9_cow F6TR11_opossum Q6ZQ08_mouse
A0A096MVH4_baboon A0A8I3NQY8_dog A5YM72_human F1MY45_cow F7C554_opossum Q6ZPS2_mouse
A0A096MMD8_baboon A0A8I3RZZ6_dog A6H8Y1_human F1MEB1_cow F7APT5_opossum Q571C7_mouse
A0A2I3N2Y4_baboon A0A8I3NGN4_dog A6NC05_human E1BIP6_cow F7B4M0_opossum Q9CWB7_mouse
A0A8I3MDZ7_dog A0A8I5N9R6_baboon A6NC51_human A7MBB3_cow H9H624_opossum Q8R218_mouse
A0A0A0MWY0_baboon A0A5F8GI90_opossum A0A8I3MBG0_dog A6NC86_human E1BFZ1_cow Q9CQD7_mouse
A0A096NNK4_baboon A0A8I3PFM8_dog A6NCF5_human F1MIH3_cow F6RY91_opossum G3UW92_mouse
A0A096NHB3_baboon A0A8I3MGA5_dog A6NCI4_human E1BMR9_cow F7FN70_opossum Q3UVV9_mouse
A0A096NWU9_baboon A0A8I3P6I8_dog A6NCI8_human F1MB66_cow F7G8G7_opossum W4VSN8_mouse
A0A0A0MWB4_baboon A0A5F8HAE1_opossum A0A8I3RWP6_dog A6H6Q4_mouse A6NCJ1_human F1MZJ1_cow
A0A3Q1N6K3_cow A0A5F8H9U0_opossum A0A8I3PSN9_dog A0A8I5R9J2_baboon A6NCL1_human Q3URY2_mouse
A0A096MPZ8_baboon A0A3Q1M3P3_cow A0A5F8G5K8_opossum A0A8I3Q1S3_dog A6NCL2_human Q3URS3_mouse
A0A8I3P6U0_dog A0A8I5N9I3_baboon A6NCL7_human E1BQ20_cow F7DEG3_opossum Q3U0L2_mouse
A0A096MSY6_baboon A0A8I3PPP3_dog A6NCN8_human F1N689_cow F7C721_opossum Q3TTI8_mouse
A0A096NA19_baboon A0A8I3RPA1_dog A6NCQ9_human F7D5E0_opossum G3N0Y2_cow Q8CEF8_mouse
A0A096MRK3_baboon A0A8I3NYD2_dog A6NCS4_human E1BIE8_cow F7G687_opossum P43688_mouse
A0A096N439_baboon A0A8I3Q4Z6_dog A6NCV1_human F7FKD1_opossum G3N1E9_cow Q8VG45_mouse
A0A2I3LU31_baboon A0A3Q1M4M1_cow A0A8I3P9X8_dog A6ND01_human F7AHC3_opossum Q9EQF4_mouse
A0A096P340_baboon A0A8I3P584_dog A6ND36_human E1BCY1_cow F7F4V4_opossum Q5SWY7_mouse
A0A096P4E3_baboon A0A8I3RUG9_dog A6NDA9_human E1B978_cow F6XGD0_opossum Q6PFC5_mouse
A0A096MQD6_baboon A0A8I3NT56_dog A6NDD5_human F1MSX3_cow F6YP19_opossum Q3USQ7_mouse
A0A096NL24_baboon A0A8I3N986_dog A6NDG6_human F6PJ49_opossum Q2T9S4_cow Q8CHP8_mouse
A0A096N0V2_baboon A0A8I3Q1L8_dog A6NDL7_human F6U1X3_opossum Q58DC7_cow Q8CDZ2_mouse
A0A096N4U6_baboon A0A8I3RW56_dog A6NDP7_human F7C323_opossum G5E500_cow Q08AU7_mouse
A0A096N4Q4_baboon A0A5F8G9Z8_opossum A0A8I3MLZ2_dog A6NDU8_human E1BBG4_cow Q8BR90_mouse
A0A096P165_baboon A0A8I3NQT3_dog A6NDV4_human A6QLK4_cow B1AWJ5_mouse F6PSC3_opossum
A0A096P3K7_baboon A0A140LHH9_mouse A0A5F8GHT7_opossum A0A8I3RVV7_dog A6NE52_human F1MRY3_cow
A0A096NVU3_baboon A0A8I3MV77_dog A6NEE1_human B2RPU2_mouse F1MZF1_cow F6W324_opossum
A0A096NW21_baboon A0A452DHZ4_cow A0A5F8H510_opossum A0A8I3Q564_dog A6NEH6_human Q497K7_mouse
A0A096NY93_baboon A0A8I3RZ94_dog A6NEQ2_human A7MB34_cow F6R5L7_opossum Q80VF6_mouse
A0A096NRK4_baboon A0A8I3PKN7_dog A6NES4_human D3Z750_mouse F1MZK6_cow F7CXI3_opossum
A0A096N3M6_baboon A0A452DIT0_cow A0A8I3NHI9_dog A6NEY8_human F6SPU8_opossum Q9D820_mouse
A0A096N9F5_baboon A0A8I3P2Q9_dog A6NF36_human F7EKI8_opossum G3MZI5_cow Q9D9C6_mouse
A0A8I3RZX4_dog A0A8I5R9X6_baboon A6NF83_human F1N0F5_cow F7CN57_opossum Q497P3_mouse
A0A096MXG3_baboon A0A3Q1LM89_cow A0A8I3PW33_dog A6NFA1_human B1ATG9_mouse F6ZAC3_opossum
A0A096NDW8_baboon A0A8I3PD94_dog A6NFD8_human E1BP66_cow F6UNQ1_opossum Q7TS99_mouse
A0A2I3MKE9_baboon A0A3Q1LQN3_cow A0A5F8GBI3_opossum A0A8I3PUA4_dog A6NFE3_human Q9D581_mouse
A0A096NQ82_baboon A0A3Q1M7D6_cow A0A8I3NNM2_dog A6NFI3_human F6S429_opossum Q6PGE4_mouse
A0A2I3MD07_baboon A0A5F8GBI0_opossum A0A8I3S0M0_dog A6NFN3_human Q0VD23_cow Q8BIF2_mouse
A0A096MSL7_baboon A0A5F8HKD2_opossum A0A8I3PMI6_dog A6NFN9_human E1BI95_cow Q3UUE9_mouse
A0A096N3X2_baboon A0A8I3P0A6_dog A6NFQ2_human F1N3Y1_cow F6SR91_opossum Q921K8_mouse
A0A096N8P8_baboon A0A8I3N351_dog A6NFU0_human A7E3C4_cow F7D3V8_opossum Q9D3R5_mouse
A0A2I3LTT7_baboon A0A8I3MEI3_dog A6NFU8_human F1MX35_cow F6SIL8_opossum Q9CWB5_mouse
A0A8I3S568_dog A0A8I5NFW1_baboon A6NFY4_human F1MML1_cow F6UZM6_opossum Q8CB65_mouse
A0A0A0MVB5_baboon A0A8I3MI93_dog A6NFY7_human A8PU71_cow F6TEG4_opossum Q3U276_mouse
A0A2I3MVZ4_baboon A0A5F8GAY6_opossum A0A8I3PAG3_dog A6NG13_human F1N4R7_cow Q9D4R2_mouse
A0A2I3NEL1_baboon A0A8I3PPM8_dog A6NGA9_human E1BEG3_cow F6T2K4_opossum Q80W35_mouse
A0A096NDN0_baboon A0A3Q1MM77_cow A0A5F8H6B6_opossum A0A8I3NVK7_dog A6NGB9_human P0C7L0_mouse
A0A8I3NY16_dog A0A8I5N0H4_baboon A6NGC4_human E1BNN2_cow F7ES92_opossum Q8VC26_mouse
A0A096NYF5_baboon A0A5F8GF16_opossum A0A8I3PU74_dog A6NGE7_human F1MIY5_cow Q283N4_mouse
A0A5F8GUK8_opossum A0A8I3NIP9_dog A0A8I5R0B6_baboon A6NGG8_human G3N2Z0_cow Q6PAC4_mouse
A0A096N473_baboon A0A8I3NAM0_dog A6NGH8_human F7G5U6_opossum Q2T9W8_cow Q9CQM6_mouse
A0A2I3N1V0_baboon A0A8I3NT51_dog A6NGN9_human F1MN28_cow F6RM57_opossum Q8HW98_mouse
A0A096NWT0_baboon A0A5F8HIT7_opossum A0A8I3NWH6_dog A6NGR9_human F1N2L5_cow V9GX81_mouse
A0A1B0GST0_mouse A0A8I3NKK5_dog A0A8I5NR24_baboon A6NGY5_human F7FBV3_opossum G3X7M6_cow
A0A096NNX6_baboon A0A8I3PP70_dog A6NH21_human F1MGF0_cow F7EKT9_opossum Q5XK03_mouse
A0A096NLN7_baboon A0A8I3NDZ7_dog A6NH52_human F7E7H1_opossum M5FKJ5_cow Q6NVH0_mouse
A0A8I3NQ99_dog A0A8I5N294_baboon A6NHC0_human E1BKJ3_cow F7F719_opossum Q91VA3_mouse
A0A096MV21_baboon A0A8I3SBP1_dog A6NHN0_human E1BHU7_cow F7AU60_opossum Q4ZJM7_mouse
A0A8I3S0P0_dog A0A8I5N0R4_baboon A6NHQ4_human F6PIZ5_opossum G5E6S7_cow Q7TNS8_mouse
A0A096N2E0_baboon A0A8I3MFT7_dog A6NHR9_human F6RF21_cow F7GDI9_opossum Q6P5D8_mouse
A0A096MUL4_baboon A0A8I3PRE5_dog A6NHS7_human F7F559_opossum G3MZR6_cow Q3UU94_mouse
A0A8I3PLU9_dog A0A8I5NL95_baboon A6NHT5_human F1MXD3_cow F7G0H2_opossum P42581_mouse
A0A096MWE8_baboon A0A8I3RRI6_dog A6NHX0_human F1N308_cow F6PTR3_opossum Q8CAB8_mouse
A0A2I3MWT5_baboon A0A3Q1MT43_cow A0A8I3NZ21_dog A6NI28_human B2RQE8_mouse F6UA43_opossum
A0A2I3LCC4_baboon A0A3Q1M0Y9_cow A0A8I3P9X0_dog A6NI56_human F7G8L8_opossum Q6RUT8_mouse
A0A096MSW3_baboon A0A8I3RVZ7_dog A6NI61_human E1BEP8_cow F7CS65_opossum Q9D1N4_mouse
A0A096N5T0_baboon A0A5F8HK39_opossum A0A8I3MX08_dog A6NI79_human A6QNP9_cow Q3TCJ8_mouse
A0A096MZH5_baboon A0A8I3N5R8_dog A6NI87_human F7ABL9_opossum G3N0B2_cow Q9CVN6_mouse
A0A096NQM7_baboon A0A8I3Q9E7_dog A6NIH7_human E1BIZ3_cow F6Q2N1_opossum Q8C4B4_mouse
A0A096NA00_baboon A0A8I3NZ62_dog A6NIM6_human F1N3P6_cow F7FGF9_opossum Q8CBB2_mouse
A0A3Q1LRT8_cow A0A5F8G6T7_opossum A0A8I3QBH2_dog A0A8I5R9U4_baboon A6NIN4_human Q9DCB3_mouse
A0A8I3MLV2_dog A0A8I5N9U9_baboon A6NIX2_human E1BP33_cow F7DZX4_opossum Q7TQJ8_mouse
A0A2I3LMG1_baboon A0A8I3MZB4_dog A6NJ46_human E1BA63_cow F6YT06_opossum Q3UHX8_mouse
A0A096NET0_baboon A0A8I3NV95_dog A0JN95_cow A6NJ78_human F7FNK2_opossum Q9DCL4_mouse
A0A0A0MX87_baboon A0A5F8G4W7_opossum A0A8I3MCK3_dog A6NJB7_human B2RW88_mouse Q0P5M0_cow
A0A096MNS3_baboon A0A5F8GZN3_opossum A0A8I3PC28_dog A6NJG2_human G3N308_cow Q8BY98_mouse
A0A2I3LT38_baboon A0A5F8GET5_opossum A0A8I3NEE0_dog A6NJI1_human Q2KIL8_cow Q8VC23_mouse
A0A096NZN3_baboon A0A1Y7VMI0_mouse A0A8I3MXE1_dog A6H759_cow A6NJI9_human K7E3V4_opossum
A0A8I3PXG4_dog A0A8I5NEG9_baboon A6NJV1_human F6Z4I5_opossum Q3SZR5_cow Q9DAS2_mouse
A0A096MLH0_baboon A0A1B0GRI5_mouse A0A8I3NAK1_dog A6NJW4_human F1MPC4_cow F6WJT2_opossum
A0A096MSC9_baboon A0A5F8GHR8_opossum A0A8I3PS95_dog A6NK06_human F1MGW6_cow P54987_mouse
A0A2I3N4W8_baboon A0A3Q1LZB4_cow A0A5F8G932_opossum A0A8I3QZA2_dog A6NK44_human Q9D8I3_mouse
A0A096MRK8_baboon A0A8I3N0Y8_dog A6NK58_human E1BI46_cow F6WTY2_opossum Q9D009_mouse
A0A096ML37_baboon A0A8I3PHZ5_dog A6NK59_human F6YC59_opossum G8JKY1_cow Q8C6Y6_mouse
A0A8I3P987_dog A0A8I5ND38_baboon A6NK89_human E1BF74_cow F7F1N5_opossum Q8BL43_mouse
A0A096MMN0_baboon A0A3Q1MEF6_cow A0A8I3MT28_dog A6NKB5_human F7CC88_opossum Q5DU28_mouse
A0A096P1A8_baboon A0A5F8HKK1_opossum A0A8I3PR68_dog A6NKF2_human A6PWV5_mouse F1MGP2_cow
A0A096MUW4_baboon A0A8I3MN92_dog A6NKL6_human F7EYB3_opossum G3MZJ8_cow J3QK46_mouse
