UNIPROT_ID	LENGTH	MOL-WEIGHT	Tm_(C)
E9PB14	501	54,122	62.88
E9PBJ5	664	72,692	51.63
E9PDC9	887	99,280	63.89
E9PES6	153	17,522	49.62
E9PH29	256	27,693	48.43
E9PHS0	196	22,042	62.7
E9PIR7	482	53,167	59.88
E9PJ81	290	32,611	44.89
E9PK52	811	90,997	43.9
E9PLL6	108	12,201	62.64
F5GWX5	1905	217,103	65.98
F5GY88	1008	112,181	59.17
F5GYN4	241	28,051	58.87
F5GZ54	31	3,414	63.19
F5H170	219	24,377	59.49
F5H897	704	80,110	41.16
F8VQE1	598	66,991	62.88
F8VRQ4	313	36,849	61.42
F8VSA6	50	5,867	40.01
F8VUX1	237	27,724	50.7
F8VZZ0	186	20,959	55
F8W031	263	29,224	51.07
F8W1N5	71	7,813	59.65
F8W6I7	307	33,155	46.73
F8W726	1079	113,628	41.63
F8WA83	440	48,121	52.74
F8WAW4	140	15,640	40.42
F8WC68	210	24,098	58.9
F8WDD7	113	13,057	65.73
G3V1A4	149	16,812	53
G3V1C3	510	57,561	49.86
G3V1Q4	401	46,566	40.67
G3V295	203	22,842	59.51
G3V3M6	263	29,190	50.92
G3V4C1	292	32,238	60.8
G3V529	816	91,481	62.62
G3V5N7	142	15,470	52.76
G3V5Z3	706	82,031	60.88
G3XAH6	724	80,626	59.9
G5E9W3	647	73,477	64.29
G8JLD5	736	81,877	59.09
H0Y2Y8	540	57,643	60.62
H0Y3P2	869	98,118	49.56
H0Y4E5	149	16,732	59.91
H0Y4R1	470	51,069	61.6
H0Y5R6	228	25,425	64.15
H0Y6E7	292	31,857	60
H0Y7U8	736	83,493	53.96
H0Y8C6	1099	123,860	47.74
H0YCN4	195	22,934	59.04
H0YCY8	244	27,837	63.37
H0YD13	206	22,683	54.48
H0YEN5	195	21,154	57.35
H0YGT2	122	13,382	62.52
H0YH81	362	38,250	60.94
H0YI57	151	16,838	40.09
H0YIV9	168	18,717	62.26
H0YJG4	1815	207,792	48.12
H0YM23	2487	263,366	44.44
H0YMM5	133	14,306	54.8
H0YN10	212	23,394	58.42
H3BLZ8	729	80,272	47.29
H3BPF6	152	17,158	59.25
H3BQN4	361	39,340	44.76
H3BQQ9	137	15,516	44.86
H3BRV0	913	105,344	40.98
H3BTL1	75	9,012	59.25
H3BUF6	1068	112,714	58.8
H3BUP2	174	18,739	51.99
H7BYY1	248	28,747	58.97
H7BZJ3	123	13,519	55.02
H7C0E5	386	42,654	49.85
H7C0Q6	202	23,524	59.93
H7C1S6	195	21,759	58.64
H7C4L9	27	2,789	59.96
H7C4W4	20	2,365	62.06
I3L397	146	16,019	64.94
I3L3Q4	227	25,500	58.15
J3KMY5	148	16,230	59.06
J3KN66	599	67,822	59.88
J3KPM9	714	83,360	61.62
J3KQ32	416	46,938	59.41
J3KSQ6	42	4,595	49.93
J3KTA4	614	69,087	59.97
J3KTF8	193	21,517	55.84
J3QQV6	165	19,085	59.66
J3QRS3	177	20,457	51.26
J3QT28	278	31,704	63.27
K7EL95	136	14,944	59.68
K7ELL7	535	60,192	54.92
K7ELW0	169	17,910	59.69
K7ELW1	142	15,140	58.55
K7ENG2	307	33,902	52.83
K7ER90	227	25,442	58.11
K7ER96	281	31,467	51.26
K7ERF1	192	22,095	45.55
L0R819	96	11,250	58.35
M0QX35	531	59,976	61.71
M0QXH7	155	17,088	62.65
M0QXZ5	218	23,568	59.34
M0QZC0	118	12,286	59.14
M0QZH0	169	19,813	58.62
M0R259	328	36,410	50.65
O00151	329	36,072	60.81
O00231	422	47,464	60.17
O00232	456	52,904	59.4
O00244	68	7,402	45.47
O00267	1087	121,000	58.27
O00299	241	26,923	57.92
O00468	2068	217,320	42.34
O00505	521	57,811	64.2
O14497	2285	242,045	59.39
O14545	582	64,841	59.49
O14561	156	17,417	50.4
O14737	125	14,285	42.1
O14744	637	72,684	60.25
O14776	1098	123,901	42.57
O14818	248	27,887	59.68
O14974	1030	115,281	60.43
O14980	1071	123,386	59.73
O15020	2390	271,325	60.4
O15042	1029	118,292	47.02
O15091	583	67,315	60.21
O15173	223	23,818	44.81
O15198	467	52,493	59.68
O15212	129	14,583	50.81
O15296	676	75,857	60.08
O15446	510	54,986	58.17
O15498	198	22,418	59.5
O15514	142	16,311	59.64
O43143	795	90,933	54.2
O43148	476	54,844	60.64
O43172	522	58,449	45.5
O43242	534	60,978	62.14
O43290	800	90,255	59.25
O43390	633	70,943	49.43
O43399	206	22,238	59.91
O43516	503	51,258	60.11
O43592	962	109,964	59.94
O43660	514	57,194	59.42
O43707	911	104,854	59.11
O43715	76	8,786	58.45
O43790	486	53,501	61.52
O43805	119	13,596	55.29
O43809	227	26,227	50.66
O43818	475	51,841	59.25
O43847	1151	131,701	58.98
O43852	315	37,107	50.31
O60216	631	71,690	60.84
O60264	1052	121,905	60.07
O60306	1485	171,295	60.77
O60493	162	18,762	61.49
O60506	623	69,603	48.92
O60658	829	93,304	61.44
O60674	1132	130,674	58.98
O60675	156	17,523	59.72
O60832	514	57,674	62.9
O60841	1220	138,827	59.39
O60869	148	16,369	51.15
O60884	412	45,746	52.62
O60885	1362	152,219	59.13
O75083	606	66,194	57.59
O75153	1309	146,670	60.97
O75340	191	21,868	58.69
O75351	444	49,302	60.15
O75369	2602	278,164	57.41
O75439	489	54,366	59.24
O75489	264	30,242	54.88
O75531	89	10,059	58.42
O75533	1304	145,830	60.7
O75607	178	19,344	59.22
O75618	318	36,794	50.42
O75643	2136	244,508	54.32
O75822	258	29,062	50.26
O75947	161	18,491	61.31
O76031	633	69,224	60.69
O94776	668	75,023	41.9
O94842	621	66,195	60.06
O94906	941	106,925	65.81
O94986	1710	195,626	58.57
O95071	2799	309,352	57.58
O95202	739	83,354	59.71
O95336	258	27,547	41.43
O95347	1197	135,656	62.7
O95373	1038	119,517	59.89
O95602	1720	194,811	60.95
O95777	96	10,403	60.97
O95881	172	19,206	50.45
O95983	291	32,844	59.49
O96019	429	47,461	59.24
P00338	332	36,689	58.71
P00367	558	61,398	60.87
P00390	522	56,257	58.95
P00441	154	15,936	41.24
P00491	289	32,118	60.9
P00533	1210	134,277	63.02
P00558	417	44,615	49.47
P00568	194	21,635	60.17
P00813	363	40,764	60.57
P01031	1676	188,305	59.68
P01215	116	13,075	61.18
P02452	1464	138,941	58.77
P02533	472	51,561	59.78
P02545	664	74,139	54.94
P02768	609	69,367	67.68
P02786	760	84,871	59.55
P04040	527	59,756	58.47
P04181	439	48,535	43.09
P04264	644	66,039	60.24
P04406	335	36,053	49.96
P04792	205	22,783	41.62
P04843	607	68,569	59.66
P05091	517	56,381	51.5
P05198	315	36,112	59.95
P05413	133	14,858	61.83
P05455	408	46,837	61.73
P05556	798	88,415	58.43
P05783	430	48,058	57.45
P05787	483	53,704	44.9
P06733	434	47,169	53.19
P06744	558	63,147	49.34
P06748	294	32,575	44.8
P07108	87	10,044	46.73
P07195	334	36,638	60.66
P07237	508	57,116	54.84
P07339	412	44,552	49.01
P07737	140	15,054	52.24
P07814	1512	170,591	46.17
P07900	732	84,660	59.96
P07942	1786	198,038	59.54
P08107	641	70,052	51.95
P08238	724	83,264	50.39
P08243	561	64,370	59.52
P08559	390	43,296	58.82
P08579	225	25,486	65.36
P08621	437	51,557	59.81
P08670	466	53,652	42.79
P08758	320	35,937	59.02
P08779	473	51,268	59.49
P09017	264	29,811	58.08
P09211	210	23,356	42.49
P09382	135	14,716	45.95
P09622	509	54,177	62.11
P09874	1014	113,084	48.53
P09884	1462	165,913	61.31
P09960	611	69,285	59.79
P09972	364	39,456	50.45
P10109	184	19,393	53.62
P10412	219	21,865	43.84
P10515	647	68,997	59.13
P10768	282	31,463	59.09
P10809	573	61,055	59.57
P10909	449	52,495	40.09
P11021	654	72,333	52.52
P11047	1609	177,603	59.43
P11142	646	70,898	53.01
P11177	359	39,233	64.8
P11310	421	46,588	45.33
P11387	765	90,726	59.35
P11388	1531	174,385	49.17
P11413	515	59,257	58.89
P11441	157	17,777	56.01
P11498	1178	129,634	61.64
P11586	935	101,559	61.24
P11940	636	70,671	43.86
P12004	261	28,769	49.63
P12270	2363	267,293	59.55
P12273	146	16,572	50.24
P12277	381	42,644	66.16
P12814	892	103,058	60.7
P12956	609	69,843	53.82
P13010	732	82,705	49.78
P13639	858	95,338	61.08
P13645	584	58,827	40.14
P13667	645	72,932	49.73
P13674	534	61,049	42.24
P13693	172	19,595	50.06
P13797	630	70,811	57.48
P13804	333	35,080	47.68
P14174	115	12,476	69.42
P14324	419	48,275	50.74
P14618	531	57,937	59.18
P14625	803	92,469	45.16
P14854	86	10,192	61.55
P14866	589	64,133	60.22
P14868	501	57,136	60.94
P14927	111	13,530	59.94
P15121	316	35,853	52.52
P15151	417	45,303	64.39
P15311	586	69,413	40.85
P15924	2871	331,774	60.13
P15927	270	29,247	58.71
P16083	231	25,919	61.8
P16152	277	30,375	41.33
P16989	372	40,090	58.07
P17174	413	46,248	64.34
P17535	347	35,174	48.56
P17987	556	60,344	59.71
P18124	248	29,226	60.68
P18206	1134	123,799	59.81
P18669	254	28,804	57.53
P18887	633	69,477	46.47
P19338	710	76,614	45.81
P19447	782	89,278	67.57
P19971	482	49,955	60.56
P20042	333	38,388	61.92
P20290	206	22,168	66.4
P20618	241	26,489	65.86
P20700	586	66,408	60.1
P21266	225	26,560	59.7
P21281	511	56,501	60.06
P21283	382	43,942	58.88
P21291	193	20,567	55.28
P21333	2647	280,739	59
P22033	750	83,134	63.57
P22061	227	24,636	42.29
P22234	425	47,079	61.13
P22307	547	58,994	48.05
P22314	1058	117,849	46.49
P22626	353	37,430	47.66
P23193	301	33,970	60.68
P23246	707	76,149	48.22
P23284	216	23,743	50.22
P23368	584	65,444	52.4
P23381	471	53,165	56.04
P23396	243	26,688	60.94
P23434	173	18,885	61.61
P23526	432	47,716	60.32
P23919	212	23,819	60.09
P24534	225	24,764	45.94
P24666	158	18,042	48.7
P24752	427	45,200	47.35
P24941	298	33,930	64.37
P25054	2843	311,646	60.99
P25398	132	14,515	51.7
P25490	414	44,713	66.94
P25685	340	38,044	43.72
P25705	553	59,751	60.42
P25786	263	29,556	64.99
P25787	234	25,899	61.62
P25788	255	28,433	59.72
P26038	577	67,820	60.64
P26358	1616	183,165	60.12
P26599	531	57,221	40.32
P26639	723	83,435	59.35
P26640	1264	140,476	60.3
P26885	142	15,649	58.22
P27694	616	68,138	58.07
P27797	417	48,142	43.7
P27816	1152	121,005	59.32
P28066	241	26,411	60.21
P28482	360	41,390	54.38
P28838	519	56,166	59.41
P29084	291	33,044	51.52
P29401	623	67,878	66.66
P29692	281	31,122	57.43
P29966	332	31,555	62.41
P30040	261	28,993	51.05
P30041	224	25,035	59.57
P30044	214	22,086	42.91
P30050	165	17,819	53.79
P30084	290	31,387	45.28
P30086	187	21,057	58.68
P30153	589	65,309	60.78
P30405	207	22,040	48.38
P30419	496	56,806	64.23
P30533	357	41,466	53.06
P30622	1438	162,246	65.33
P30740	379	42,742	52.29
P30876	1174	133,897	60.99
P31153	395	43,661	55.81
P31327	1500	164,939	52.21
P31689	397	44,868	60.07
P31937	336	35,329	58.79
P31939	592	64,616	49.56
P31942	346	36,926	60.21
P31946	246	28,082	48.39
P31947	248	27,774	55.97
P31948	543	62,639	48.13
P32119	198	21,892	59.63
P32519	619	67,498	54.11
P33176	963	109,685	58.9
P33240	577	60,959	52.94
P33552	79	9,860	59.89
P33991	863	96,558	59.88
P33992	734	82,286	61.63
P34897	504	55,993	59.81
P34932	840	94,331	44.65
P35237	376	42,622	60.92
P35241	583	68,564	52.27
P35247	375	37,728	51.55
P35270	261	28,048	40.4
P35527	623	62,064	60.2
P35579	1960	226,532	47.41
P35613	385	42,200	45.69
P35659	375	42,674	47.11
P35908	639	65,433	60.95
P35998	433	48,634	64.67
P36551	454	50,152	61.2
P36578	427	47,697	56.7
P36776	959	106,489	60.44
P36871	562	61,449	61.67
P36873	323	36,984	62.7
P36957	453	48,755	62.63
P37108	136	14,570	58.37
P37802	199	22,391	52.83
P38117	255	27,844	58.37
P38646	679	73,680	51.01
P38919	411	46,871	58.55
P39687	249	28,585	55.18
P39748	380	42,593	41.61
P40222	546	61,891	59.69
P40227	531	58,024	60.7
P40925	334	36,426	61.34
P40926	338	35,503	60.34
P40939	763	83,000	60.5
P41091	472	51,109	59.16
P41250	739	83,166	60.42
P41252	1262	144,498	52.04
P42126	302	32,816	60.58
P42166	694	75,492	48.76
P42704	1394	157,905	41.48
P42765	397	41,924	63.06
P43034	410	46,638	59.66
P43121	646	71,607	50.22
P43243	847	94,623	59.15
P43686	418	47,366	61.02
P45973	191	22,225	52.46
P46013	3256	358,694	59.91
P46063	649	73,457	43.08
P46459	744	82,594	59.2
P46777	297	34,363	59.19
P46783	165	18,898	59.46
P46940	1657	189,252	58.42
P48147	710	80,700	59.62
P48444	511	57,210	61.49
P48634	2157	228,863	57.26
P49189	494	53,802	58.98
P49327	2511	273,427	60.79
P49406	292	33,535	60.01
P49411	452	49,542	50.45
P49419	539	58,487	52.72
P49588	968	106,810	54.46
P49591	514	58,777	47.35
P49736	904	101,896	46.26
P49790	1475	153,938	61.55
P49916	1009	112,907	60.02
P50213	366	39,592	47.9
P50454	418	46,441	52.41
P50502	369	41,332	45.45
P50552	380	39,830	59.22
P50579	478	52,892	50
P50914	215	23,432	40.84
P50991	539	57,924	60.18
P51148	216	23,483	52.25
P51398	398	45,566	65.54
P51532	1647	184,646	59.59
P51608	486	52,441	59.5
P51970	172	20,105	62.55
P52272	730	77,516	62.14
P52292	529	57,862	60.59
P52294	538	60,222	59.07
P52298	156	18,001	59.72
P52597	415	45,672	46.1
P52701	1360	152,786	59.76
P52788	366	41,268	48.81
P52789	917	102,380	65.33
P52815	198	21,348	48
P52907	286	32,923	48.42
P53350	603	68,255	61.17
P53396	1101	120,839	61.05
P53582	386	43,215	60.12
P53618	953	107,142	41.47
P53999	127	14,395	60.99
P54136	660	75,379	48.62
P54577	528	59,143	42.95
P54652	639	70,021	60.99
P54727	409	43,171	59.06
P54819	239	26,478	55.28
P54886	795	87,302	41.43
P55010	431	49,223	48.43
P55039	364	40,746	46.05
P55072	806	89,322	61.35
P55145	182	20,700	59.95
P55199	621	68,265	47.38
P55263	362	40,545	61.22
P55265	1226	136,066	43.93
P55786	919	103,276	57.61
P55809	520	56,158	48.59
P56537	245	26,599	59.23
P60174	286	30,791	59.01
P60228	445	52,221	60.75
P60660	151	16,930	50.11
P60709	375	41,737	47.38
P60866	119	13,373	60.29
P60953	191	21,259	55.14
P61106	215	23,897	60.04
P61158	418	47,371	48.68
P61160	394	44,761	52.49
P61289	254	29,506	59.7
P61353	136	15,798	61.37
P61604	102	10,932	66.48
P61758	197	22,626	51.27
P61769	119	13,715	55.58
P61956	95	10,871	59.38
P61964	334	36,588	60.15
P61981	247	28,303	46.06
P62072	90	10,333	61.02
P62136	330	37,512	59.96
P62191	440	49,185	59.2
P62195	406	45,626	65.93
P62258	255	29,174	58.65
P62277	151	17,222	61.72
P62310	102	11,845	60.32
P62312	80	9,128	59.26
P62314	119	13,282	62.83
P62316	118	13,527	60.27
P62633	177	19,463	58.85
P62750	156	17,695	61.9
P62753	249	28,681	55.13
P62805	103	11,367	42.45
P62857	69	7,841	45.43
P62888	115	12,784	60.37
P62937	165	18,012	49.96
P63000	192	21,450	59.36
P63104	245	27,745	58.03
P63151	447	51,692	40.86
P63208	163	18,658	59.11
P63244	317	35,077	62.72
P67775	309	35,594	59.39
P67870	215	24,942	51.44
P67936	248	28,522	44.3
P68036	154	17,862	61.71
P68104	462	50,141	44.99
P68133	377	42,051	48.62
P68400	391	45,144	52.96
P78330	225	25,008	58.35
P78345	283	31,834	59.98
P78406	368	40,968	61.25
P78417	241	27,566	49.6
P78527	4128	469,089	60.01
P80723	227	22,693	42.25
P82909	103	11,466	58.95
P84077	181	20,697	60.44
P84090	104	12,259	58.47
P84243	136	15,328	44.62
P98082	770	82,448	63.95
Q00341	1268	141,456	61.8
Q00534	326	36,938	56.12
Q00577	322	34,911	58.21
Q00610	1675	191,615	49.98
Q00688	224	25,177	57.08
Q00839	825	90,584	41.69
Q01082	2364	274,609	53.19
Q01105	290	33,489	62.78
Q01469	135	15,164	55.76
Q01831	940	105,953	60.13
Q01844	656	68,478	50.25
Q02790	459	51,805	57.83
Q02809	727	83,550	58.58
Q02818	461	53,879	59.15
Q02952	1782	191,482	58.86
Q04637	1599	175,491	60.39
Q04695	432	48,106	45.04
Q04760	184	20,778	60.03
Q04917	246	28,219	51.87
Q05519	484	53,542	61.72
Q06210	699	78,806	41.54
Q06323	249	28,723	50.32
Q06830	199	22,110	41.26
Q07021	282	31,362	55.53
Q07065	602	66,022	60.08
Q07666	443	48,227	45.75
Q08211	1270	140,958	61.6
Q08945	709	81,075	56.93
Q08AH1	577	65,273	66.41
Q09028	425	47,656	58.25
Q09327	533	61,313	50.24
Q09666	5890	629,101	59.83
Q10570	1443	160,884	50.14
Q12792	350	40,283	60.31
Q12874	501	58,849	40.61
Q12904	312	34,353	46.15
Q12906	894	95,338	46.7
Q12996	717	82,922	59.32
Q13011	328	35,816	59.88
Q13111	956	106,910	62.65
Q13112	559	61,493	61.26
Q13162	271	30,540	63.75
Q13185	183	20,811	45
Q13200	908	100,200	56.07
Q13228	472	52,391	59.98
Q13247	344	39,587	59.14
Q13257	205	23,510	62.5
Q13263	835	88,550	51.85
Q13283	466	52,164	48.14
Q13347	325	36,502	59.68
Q13405	166	19,198	60.88
Q13428	1488	152,106	46.46
Q13435	895	100,228	42.68
Q13616	776	89,679	59.57
Q13618	768	88,930	60.15
Q13619	759	87,680	60.43
Q13838	428	48,991	52.52
Q13895	437	49,601	61.93
Q13907	227	26,319	60.17
Q14008	2032	225,495	62.54
Q14019	142	15,945	60.81
Q14151	953	107,473	59.43
Q14152	1382	166,569	61.16
Q14181	598	65,948	61.53
Q14244	749	84,052	47.48
Q14257	317	36,876	60.22
Q14444	709	78,366	47.92
Q14566	821	92,889	60.05
Q14669	1992	220,434	61.67
Q14676	2089	226,666	54.01
Q14683	1233	143,233	60.28
Q14696	234	26,077	55.41
Q14697	944	106,874	43.83
Q14739	615	70,703	40.38
Q14789	3259	376,019	61.93
Q14847	261	29,717	62.46
Q14966	1978	220,625	58.97
Q14974	876	97,170	59.31
Q14978	699	73,603	41.62
Q14CX7	972	112,292	61.29
Q15019	361	41,487	60.02
Q15024	291	31,821	59.35
Q15029	972	109,436	59.87
Q15031	903	101,976	62.1
Q15046	597	68,048	51.46
Q15075	1411	162,466	63.59
Q15149	4684	531,791	49.72
Q15181	289	32,660	54.96
Q15233	471	54,232	42.08
Q15393	1217	135,577	62.13
Q15404	277	31,540	57
Q15424	915	102,642	60.28
Q15459	793	88,886	58.97
Q15637	639	68,330	47.63
Q15758	541	56,598	60.3
Q15818	432	47,122	58.97
Q15819	145	16,363	60.58
Q16222	522	58,769	59.4
Q16401	504	56,196	53.74
Q16531	1140	126,968	60.19
Q16539	360	41,293	58.78
Q16629	238	27,367	51.24
Q16630	551	59,210	47.2
Q16719	465	52,352	59.47
Q16763	222	23,845	56.68
Q16775	308	33,806	58.76
Q16822	640	70,699	47.35
Q16851	508	56,940	59.98
Q1KMD3	747	85,105	44.02
Q32Q12	292	32,642	61.11
Q4J6C6	727	83,927	53.24
Q53EL6	469	51,735	59.35
Q53F19	620	70,593	59.41
Q53H82	288	32,806	60.54
Q58FF6	505	58,264	49.94
Q5JR95	188	21,880	63.67
Q5JRA6	1907	213,702	49.24
Q5JTZ9	985	107,340	44.6
Q5JVF3	399	46,030	56.71
Q5JXI8	257	29,161	60.8
Q5QNW6	126	13,920	59.81
Q5QPL9	237	24,665	59.18
Q5QPP2	194	21,433	61.78
Q5RKV6	272	28,235	59.67
Q5T3Q7	2063	233,276	62.7
Q5T6H7	552	62,139	61.49
Q5T8P6	1007	113,597	66.08
Q5TFE4	455	51,845	62.5
Q5TZF3	266	29,977	50.78
Q68CQ4	756	87,055	47.27
Q6DD87	382	40,428	55.45
Q6DN72	434	47,748	59.21
Q6FI81	312	33,582	59.17
Q6I9Y2	204	23,743	58.96
Q6NZI2	390	43,476	58.88
Q6P1J9	531	60,577	56.67
Q6P1N0	951	104,062	48.39
Q6P2E9	1401	151,661	60.55
Q6P2Q9	2335	273,600	49.85
Q6P6C2	394	44,256	59.67
Q6PD62	1173	133,502	61.02
Q6PI48	645	73,563	60.22
Q6PKG0	1096	123,510	59.77
Q6UN15	594	66,526	59.08
Q6UW63	502	58,043	59.38
Q6UXN9	313	35,079	60.4
Q71SY5	747	78,171	52.7
Q71UI9	128	13,509	50.61
Q75MJ1	623	71,290	51.66
Q7KZF4	910	101,997	45.06
Q7L014	1031	117,362	47.51
Q7L0Y3	403	47,347	61.52
Q7L1Q6	419	48,043	62.07
Q7L2H7	374	42,503	47.54
Q7L5Y9	396	45,287	60.97
Q7RTV0	110	12,405	48.98
Q7Z4H3	204	23,390	58.41
Q7Z5K2	1190	132,946	60.33
Q7Z5L9	587	61,025	49.83
Q86SX6	157	16,628	56.51
Q86UV5	1035	119,032	67.6
Q86UY0	360	40,369	60.4
Q86V48	1076	120,275	59.8
Q86VF7	1730	197,074	67.72
Q86VP6	1230	136,376	60.14
Q86W42	341	37,535	59.18
Q86WR0	208	24,479	61.66
Q86X45	466	54,255	57.95
Q86XP3	938	102,975	46.9
Q86YP4	633	68,063	58.63
Q8IV01	421	46,537	68.7
Q8IX12	1150	132,821	53.8
Q8IZL8	1130	119,700	49.11
Q8N0X7	666	72,833	58.77
Q8N163	923	102,902	65.58
Q8N1G4	583	63,473	51.99
Q8N3U4	1231	141,326	58.92
Q8N4J0	409	47,186	62.23
Q8N5H3	189	20,147	65.56
Q8N5N7	158	18,325	59.12
Q8N684	471	52,050	53.17
Q8NBJ5	622	71,636	59.78
Q8NBJ7	301	33,843	48.23
Q8NC51	408	44,965	49.32
Q8NEM2	672	75,690	59.24
Q8NFH4	326	36,708	53.3
Q8NHP8	589	65,472	59.3
Q8NI27	1593	182,775	55.15
Q8TCS8	783	85,951	52.8
Q8TE04	598	64,339	59.17
Q8WU90	426	48,602	49.37
Q8WUD4	166	19,181	59.73
Q8WUM0	1156	128,979	59.66
Q8WUM4	868	96,023	60.12
Q8WVC2	81	8,850	44.94
Q8WVH6	99	10,870	58.21
Q8WWZ7	1642	186,508	45.48
Q8WX93	1383	150,564	50.26
Q8WXI9	593	65,261	53.7
Q92598	858	96,865	61.11
Q92626	1479	165,275	62.02
Q92688	251	28,788	60.92
Q92797	1274	141,148	58.45
Q92896	1179	134,552	61.11
Q92900	1129	124,345	45.63
Q92901	407	46,296	60.23
Q92905	334	37,579	48.38
Q92922	1105	122,867	52.19
Q92945	711	73,115	59.52
Q92973	898	102,355	52.04
Q969G3	411	46,649	44.14
Q96A72	148	17,276	62.66
Q96AE4	644	67,560	49.63
Q96AG4	307	34,930	41.53
Q96AT9	228	24,928	51.29
Q96BR5	231	25,709	49.53
Q96C01	138	15,641	41.24
Q96D71	796	86,662	53.98
Q96DE5	110	11,667	59.53
Q96DG6	245	28,048	61.91
Q96DI7	357	39,311	65.25
Q96EE3	360	39,649	57.93
Q96EP5	407	43,383	53.35
Q96FV9	657	75,666	59.33
Q96G03	612	68,283	59.88
Q96GK7	314	34,596	58.73
Q96HE7	468	54,393	61.11
Q96I99	432	46,511	45.93
Q96IR7	371	39,386	43.08
Q96KC8	554	63,883	59.93
Q96KR1	1074	117,012	63.77
Q96NC0	199	23,612	59.21
Q96PU8	341	37,671	51.05
Q96PZ0	661	75,035	62.7
Q96QC0	940	99,058	59.95
Q96QK1	796	91,707	68.56
Q96RP9	751	83,471	59.79
Q96RR5	747	85,653	61.5
Q96S90	227	25,003	59.54
Q96SB3	817	89,334	59.37
Q96SB4	655	74,325	60.15
Q96ST2	819	91,955	63.53
Q96ST3	1273	145,175	59.46
Q96T23	1441	163,821	58.64
Q96TA1	746	84,138	60.57
Q99436	277	29,965	65.61
Q99459	802	92,251	62.78
Q99460	953	105,836	60.77
Q99567	741	83,542	62.51
Q99584	98	11,471	60.45
Q99653	195	22,456	54.91
Q99714	261	26,923	60.57
Q99733	375	42,823	52.82
Q99757	166	18,383	66.31
Q99832	543	59,367	60.1
Q9BPW8	284	33,310	60.64
Q9BQA1	342	36,724	60.49
Q9BRJ2	306	35,351	57.54
Q9BRP8	204	22,656	60.28
Q9BSH4	297	32,477	59.48
Q9BTC0	2240	243,873	60.73
Q9BTE3	642	72,980	46.11
Q9BTT0	268	30,692	42.52
Q9BUJ2	856	95,739	59.37
Q9BV57	179	21,498	43.53
Q9BWD1	397	41,351	50.25
Q9BWF3	364	40,314	50.17
Q9BWJ5	86	10,135	61.05
Q9BX68	163	17,162	54.32
