cellular_component,biological_process,molecular_functions,mean
"['nuclear chromosome', 'nucleus', 'chromosome', 'organelle']","['DNA recombination', 'chromosome segregation', 'programmed cell death', 'reproductive process', 'cell differentiation', 'anatomical structure development', 'meiotic nuclear division']",None,0.23757433333333336
['plasma membrane'],"['cell differentiation', 'anatomical structure development']",None,0.9942187333333334
"['cytosol', 'cytoskeleton', 'organelle']","['establishment or maintenance of cell polarity', 'signaling', 'cell motility']","['cytoskeletal protein binding', 'molecular function regulator activity']",0.2770972666666667
"['endoplasmic reticulum', 'organelle']","['lipid metabolic process', 'sulfur compound metabolic process', 'nucleobase-containing small molecule metabolic process', 'carbohydrate derivative metabolic process']","['catalytic activity', 'transferase activity']",0.12288773333333333
['extracellular region'],None,"['catalytic activity', 'hydrolase activity', 'catalytic activity, acting on a protein']",0.7468161333333332
"['nucleus', 'endoplasmic reticulum', 'organelle']",None,None,0.256973
"['cytoskeleton', 'organelle']","['cell differentiation', 'extracellular matrix organization', 'anatomical structure development', 'protein-containing complex assembly']","['lipid binding', 'molecular function regulator activity']",0.1511433333333333
"['nucleus', 'mitochondrion', 'microtubule organizing center', 'cytoskeleton', 'cilium', 'organelle']","['mitochondrion organization', 'signaling', 'cilium organization', 'anatomical structure development', 'membrane organization']",['lipid binding'],0.10550326666666665
"['nucleus', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'cell differentiation']","['DNA binding', 'transcription regulator activity']",0.06910633333333333
"['nucleus', 'nucleoplasm', 'organelle']","['mitotic cell cycle', 'mRNA metabolic process']","['RNA binding', 'catalytic activity', 'hydrolase activity', 'catalytic activity, acting on RNA']",0.45067413333333334
['organelle'],None,None,0.043569199999999995
"['cytoskeleton', 'organelle']",['cytoskeleton organization'],['cytoskeletal protein binding'],0.10239786666666668
"['nucleus', 'nucleoplasm', 'organelle']","['signaling', 'protein modification process', 'cilium organization']","['catalytic activity', 'hydrolase activity', 'catalytic activity, acting on a protein']",0.28198946666666663
None,None,None,0.4947055333333334
"['nucleus', 'mitochondrion', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription']","['DNA binding', 'transcription regulator activity']",0.4162912
"['nucleus', 'organelle']","['DNA recombination', 'chromosome segregation', 'reproductive process', 'meiotic nuclear division']","['catalytic activity', 'hydrolase activity', 'catalytic activity, acting on DNA', 'ATP-dependent activity']",0.23179433333333332
"['nucleus', 'nucleoplasm', 'organelle']",None,None,0.4921675333333333
"['endoplasmic reticulum', 'cytosol', 'organelle']","['mRNA metabolic process', 'vesicle-mediated transport']",None,0.2087146666666667
"['nucleus', 'organelle']","['tRNA metabolic process', 'amino acid metabolic process']","['catalytic activity', 'ligase activity', 'catalytic activity, acting on RNA']",0.19966813333333333
"['cilium', 'organelle']",None,None,0.3127942666666667
None,None,None,0.15138266666666667
"['mitochondrion', 'organelle']",['amino acid metabolic process'],"['catalytic activity', 'transferase activity']",0.29022919999999996
"['nucleus', 'chromosome', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'mRNA metabolic process', 'cell differentiation', 'anatomical structure development']","['DNA binding', 'transcription regulator activity']",0.10491006666666666
"['Golgi apparatus', 'microtubule organizing center', 'cytoskeleton', 'organelle']",None,None,0.19124033333333335
"['nucleus', 'organelle']","['mitotic cell cycle', 'DNA repair', 'chromosome segregation', 'mRNA metabolic process', 'reproductive process', 'cell differentiation', 'anatomical structure development', 'meiotic nuclear division']",None,0.08372980000000001
"['microtubule organizing center', 'cytosol', 'cytoskeleton', 'cilium', 'organelle']","['cytoskeleton organization', 'cilium organization', 'nervous system process']",['cytoskeletal protein binding'],0.37134933333333336
None,"['tRNA metabolic process', 'carbohydrate derivative metabolic process']","['RNA binding', 'catalytic activity', 'oxidoreductase activity', 'catalytic activity, acting on RNA']",0.23622753333333332
"['cytosol', 'cytoplasmic vesicle', 'organelle']","['vesicle-mediated transport', 'signaling', 'protein catabolic process']",['molecular function regulator activity'],0.3342583333333334
"['nucleus', 'organelle']",None,None,0.6704382
['cytosol'],['carbohydrate metabolic process'],"['catalytic activity', 'isomerase activity']",0.3827736666666667
"['endoplasmic reticulum', 'plasma membrane', 'organelle']","['immune system process', 'cell adhesion', 'signaling', 'cell differentiation', 'anatomical structure development']",None,0.2500564
"['mitochondrion', 'peroxisome', 'organelle']",None,"['catalytic activity', 'hydrolase activity', 'ATP-dependent activity']",0.13885893333333332
"['nucleus', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription']","['DNA binding', 'histone binding']",0.026872333333333335
"['endoplasmic reticulum', 'organelle']",None,None,0.30604206666666667
['cytosol'],"['protein glycosylation', 'lipid metabolic process', 'cell differentiation', 'protein modification process', 'anatomical structure development', 'carbohydrate derivative metabolic process']","['catalytic activity', 'transferase activity']",0.36066793333333336
"['Golgi apparatus', 'organelle']",None,None,0.3090700666666667
"['nucleus', 'organelle']",None,None,0.5062564
"['nucleus', 'chromosome', 'nucleolus', 'mitochondrion', 'organelle']",['ribosome biogenesis'],"['RNA binding', 'catalytic activity', 'GTPase activity', 'hydrolase activity']",0.2063092
None,['signaling'],None,0.4702966666666667
"['endosome', 'cytosol', 'cytoplasmic vesicle', 'organelle']","['vesicle-mediated transport', 'signaling', 'protein catabolic process']",['molecular function regulator activity'],0.0958962
None,None,None,0.5572038666666667
"['extracellular region', 'extracellular space', 'plasma membrane', 'organelle']","['intracellular protein transport', 'autophagy']","['catalytic activity', 'GTPase activity', 'hydrolase activity']",0.1315619333333333
"['extracellular region', 'nucleus', 'cytoplasmic vesicle', 'organelle']","['reproductive process', 'cell motility', 'protein maturation']","['catalytic activity', 'hydrolase activity', 'catalytic activity, acting on a protein']",0.3067273333333333
None,None,['molecular function regulator activity'],0.0676992
None,None,None,0.36830126666666657
None,"['reproductive process', 'cell differentiation']",None,0.36660680000000007
"['nucleus', 'cytosol', 'organelle']","['mitotic cell cycle', 'mRNA metabolic process']","['catalytic activity', 'hydrolase activity', 'catalytic activity, acting on RNA']",0.27441
"['plasma membrane', 'organelle']",['signaling'],None,0.15199546666666666
"['extracellular region', 'extracellular space', 'organelle']",None,None,0.18335833333333335
None,None,None,0.6827484
None,None,None,0.0909886
"['microtubule organizing center', 'cytoskeleton', 'cilium', 'organelle']",None,None,0.34963713333333335
"['cytoskeleton', 'organelle']","['cytoskeleton organization', 'cell junction organization', 'anatomical structure development']",['cytoskeletal protein binding'],0.35299493333333326
"['endoplasmic reticulum', 'organelle']",['lipid metabolic process'],"['catalytic activity', 'lipid binding', 'hydrolase activity']",0.04571973333333333
"['extracellular region', 'extracellular space', 'endosome', 'cytoplasmic vesicle', 'organelle']","['intracellular protein transport', 'autophagy', 'vesicle-mediated transport', 'protein catabolic process', 'membrane organization']",None,0.26481380000000004
"['extracellular region', 'microtubule organizing center', 'cytoskeleton', 'cilium', 'organelle']","['cytoskeleton organization', 'microtubule-based movement', 'reproductive process', 'cilium organization', 'anatomical structure development', 'cell motility', 'nervous system process', 'protein-containing complex assembly']",None,0.4268974666666666
"['cilium', 'organelle']","['cytoskeleton organization', 'microtubule-based movement', 'reproductive process', 'cell differentiation', 'cilium organization', 'anatomical structure development', 'cell motility', 'nervous system process']",None,0.23042419999999997
"['nucleus', 'cytosol', 'organelle']","['immune system process', 'cell differentiation', 'protein catabolic process', 'anatomical structure development']","['catalytic activity', 'hydrolase activity', 'catalytic activity, acting on a protein']",0.1993366
"['plasma membrane', 'organelle']","['signaling', 'cell differentiation', 'anatomical structure development']","['lipid binding', 'molecular function regulator activity']",0.11326186666666666
None,"['DNA-templated transcription', 'regulation of DNA-templated transcription']",None,0.7158719333333334
None,None,None,0.4848679333333334
"['nucleus', 'organelle']",['regulatory ncRNA-mediated gene silencing'],None,0.179552
"['endoplasmic reticulum', 'organelle']",['lipid metabolic process'],"['catalytic activity', 'oxidoreductase activity']",0.12708166666666665
None,None,None,0.4925141333333333
"['endosome', 'Golgi apparatus', 'cytosol', 'cytoplasmic vesicle', 'organelle']","['vesicle-mediated transport', 'membrane organization']",None,0.03182293333333333
"['extracellular region', 'extracellular space', 'nucleus', 'peroxisome', 'cytosol', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'mRNA metabolic process', 'signaling', 'cell differentiation', 'regulatory ncRNA-mediated gene silencing', 'anatomical structure development']","['RNA binding', 'catalytic activity', 'hydrolase activity', 'molecular adaptor activity', 'catalytic activity, acting on RNA']",0.010548933333333333
['cytosol'],['amino acid metabolic process'],"['catalytic activity', 'hydrolase activity', 'ligase activity', 'ATP-dependent activity']",0.19171626666666666
"['nucleus', 'nucleoplasm', 'organelle']","['DNA-templated transcription', 'protein-containing complex assembly']",None,0.6304006666666666
None,None,None,0.6607658666666666
"['endosome', 'vacuole', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']",['autophagy'],None,0.48837366666666665
['extracellular region'],None,['molecular function regulator activity'],0.7538668666666669
None,None,None,0.28898959999999996
['extracellular region'],None,None,0.37171626666666674
None,None,None,0.5173991333333333
"['cytoskeleton', 'cilium', 'organelle']",None,None,0.5450324000000001
"['nucleus', 'organelle']","['DNA replication', 'cilium organization']",None,0.28991353333333336
['extracellular region'],['lipid metabolic process'],['molecular function regulator activity'],0.9062282666666666
None,None,None,0.29820226666666666
None,None,None,0.5917853999999999
None,None,None,0.18414220000000003
"['nucleus', 'chromosome', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'programmed cell death', 'cell differentiation', 'anatomical structure development']","['DNA binding', 'transcription regulator activity']",0.44712786666666665
['plasma membrane'],"['signaling', 'nervous system process']",['molecular transducer activity'],0.14651286666666669
"['extracellular region', 'plasma membrane']","['cell adhesion', 'reproductive process', 'membrane organization']",['molecular transducer activity'],0.5047976
"['nucleus', 'cytosol', 'organelle']",['signaling'],None,0.26769079999999995
None,None,None,0.4105322666666666
"['Golgi apparatus', 'organelle']",None,None,0.2509036666666667
None,"['carbohydrate metabolic process', 'lipid metabolic process']","['catalytic activity', 'hydrolase activity', 'catalytic activity, acting on a protein']",0.1129412
None,None,None,0.205834
None,None,None,0.1288788
"['nucleus', 'nucleoplasm', 'cytosol', 'organelle']","['autophagy', 'mitochondrion organization']",None,0.2129964
"['nucleus', 'mitochondrion', 'endoplasmic reticulum', 'plasma membrane', 'organelle']","['mitotic cell cycle', 'cell adhesion']",None,0.058734733333333324
None,None,None,0.6913060666666666
None,None,None,0.048403400000000006
"['endoplasmic reticulum', 'organelle']",None,None,0.39581893333333334
None,None,None,0.29926593333333334
None,None,None,0.35137653333333335
None,None,None,0.15394146666666667
None,"['reproductive process', 'anatomical structure development']",None,0.27546206666666667
"['nucleus', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription']",None,0.39552933333333334
"['plasma membrane', 'organelle']","['signaling', 'protein modification process', 'protein-containing complex assembly']","['catalytic activity', 'hydrolase activity', 'catalytic activity, acting on a protein']",0.16886546666666666
"['nucleus', 'chromosome', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'cell differentiation', 'anatomical structure development']","['DNA binding', 'transcription regulator activity']",0.08850626666666667
None,None,None,0.46676973333333327
"['nucleus', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription']","['DNA binding', 'transcription regulator activity']",0.23142986666666665
"['nucleus', 'organelle']","['mRNA metabolic process', 'anatomical structure development']","['DNA binding', 'RNA binding']",0.04167873333333334
None,None,None,0.3005368
['plasma membrane'],"['intracellular protein transport', 'cell motility', 'transmembrane transport']",None,0.32646233333333335
None,None,None,0.2495956
['cytosol'],None,"['catalytic activity', 'hydrolase activity', 'catalytic activity, acting on a protein']",0.47708453333333334
"['nucleus', 'nuclear envelope', 'organelle']",None,None,0.4174480666666666
"['nucleus', 'nucleoplasm', 'mitochondrion', 'organelle']","['mitochondrion organization', 'protein-containing complex assembly']",None,0.35279453333333327
"['endoplasmic reticulum', 'Golgi apparatus', 'organelle']","['protein glycosylation', 'reproductive process', 'cell differentiation', 'protein modification process', 'carbohydrate derivative metabolic process']","['catalytic activity', 'transferase activity']",0.6195723333333334
['plasma membrane'],None,None,0.9492518666666668
"['endosome', 'cytosol', 'cytoplasmic vesicle', 'organelle']","['cytoskeleton organization', 'vesicle-mediated transport', 'reproductive process', 'cell differentiation']",['cytoskeletal protein binding'],0.2780034666666667
['plasma membrane'],['membrane organization'],None,0.4371160666666667
"['peroxisome', 'organelle']",['nucleobase-containing small molecule metabolic process'],"['catalytic activity', 'lyase activity']",0.3113632
"['cilium', 'organelle']","['cell differentiation', 'anatomical structure development', 'nervous system process']",None,0.5921625333333334
"['nucleus', 'nucleoplasm', 'organelle']",None,None,0.29674300000000003
['extracellular region'],None,None,0.08118806666666667
None,None,None,0.3196507333333333
['plasma membrane'],"['signaling', 'nervous system process']",['molecular transducer activity'],0.2463376666666667
None,['lipid metabolic process'],None,0.25172599999999995
None,['vesicle-mediated transport'],None,0.140536
"['Golgi apparatus', 'organelle']",None,"['catalytic activity', 'hydrolase activity', 'catalytic activity, acting on a protein']",0.25229640000000003
"['extracellular region', 'extracellular space', 'external encapsulating structure', 'extracellular matrix']","['extracellular matrix organization', 'anatomical structure development', 'protein-containing complex assembly']",['structural molecule activity'],0.3262806
"['nucleus', 'nucleoplasm', 'chromosome', 'organelle']","['chromatin organization', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'cell differentiation', 'anatomical structure development']",None,0.3789789333333333
"['nuclear chromosome', 'nucleus', 'chromosome', 'organelle']","['DNA repair', 'DNA recombination', 'chromatin organization', 'anatomical structure development']","['DNA binding', 'catalytic activity', 'hydrolase activity', 'ATP-dependent activity']",0.17028306666666668
['plasma membrane'],"['extracellular matrix organization', 'anatomical structure development']",['molecular function regulator activity'],0.36264840000000004
"['nucleus', 'chromosome', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'reproductive process', 'cell differentiation', 'anatomical structure development', 'nervous system process']","['DNA binding', 'transcription regulator activity']",0.05487313333333333
['cytosol'],['signaling'],None,0.034521600000000006
None,"['muscle system process', 'circulatory system process', 'signaling']",['molecular function regulator activity'],0.03961186666666667
"['endosome', 'cytoplasmic vesicle', 'organelle']",['anatomical structure development'],None,0.5465217333333333
"['Golgi apparatus', 'plasma membrane', 'organelle']","['muscle system process', 'cell differentiation', 'anatomical structure development', 'membrane organization']",None,0.10845833333333335
"['nucleus', 'cytoskeleton', 'organelle']","['cytoskeleton organization', 'chromosome segregation']",['cytoskeletal protein binding'],0.41255773333333334
None,None,None,0.5395192666666666
"['cytosol', 'cilium', 'organelle']","['cilium organization', 'anatomical structure development']",['lipid binding'],0.18557833333333335
None,['transmembrane transport'],['transporter activity'],0.39126933333333336
None,['protein modification process'],"['catalytic activity', 'transferase activity', 'catalytic activity, acting on a protein']",0.45245366666666675
"['nucleus', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'cytoskeleton organization', 'signaling', 'regulatory ncRNA-mediated gene silencing', 'anatomical structure development']",['transcription regulator activity'],0.17641486666666667
"['nucleus', 'chromosome', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'cell differentiation', 'anatomical structure development']","['DNA binding', 'transcription regulator activity']",0.07887386666666665
"['mitochondrion', 'organelle']",['ribosome biogenesis'],"['catalytic activity', 'transferase activity', 'catalytic activity, acting on RNA']",0.23039593333333333
"['nucleus', 'chromosome', 'organelle']",['reproductive process'],None,0.4702550666666667
None,None,None,0.46945306666666664
None,None,None,0.49822059999999996
None,None,None,0.4645024666666666
"['nucleus', 'cytoskeleton', 'cilium', 'organelle']",None,None,0.37106800000000006
"['extracellular region', 'extracellular space', 'external encapsulating structure', 'extracellular matrix']",None,None,0.2166668666666667
"['mitochondrion', 'organelle']","['immune system process', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'inflammatory response', 'reproductive process', 'signaling', 'anatomical structure development', 'defense response to other organism']","['catalytic activity', 'lyase activity']",0.23227353333333334
None,None,None,0.46057053333333337
"['mitochondrion', 'organelle']","['protein modification process', 'protein maturation']","['catalytic activity', 'transferase activity', 'ligase activity', 'catalytic activity, acting on a protein']",0.1870684
['cytosol'],"['signaling', 'protein modification process']",None,0.16468259999999998
"['microtubule organizing center', 'cytosol', 'cytoskeleton', 'organelle']","['signaling', 'cell differentiation', 'anatomical structure development']",None,0.16546766666666665
None,None,None,0.19232273333333336
"['nucleus', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription']",['DNA binding'],0.2591988
None,None,None,0.2964734
None,['lipid metabolic process'],"['catalytic activity', 'oxidoreductase activity']",0.2832362666666667
None,None,None,0.19032506666666663
None,['anatomical structure development'],None,0.05266213333333333
None,"['amino acid metabolic process', 'cell differentiation', 'protein catabolic process', 'protein modification process', 'cilium organization', 'anatomical structure development', 'nervous system process']",None,0.18712586666666667
None,None,None,0.3712208666666666
None,['transmembrane transport'],['transporter activity'],0.4370606666666667
None,['signaling'],None,0.22438039999999998
['organelle'],"['signaling', 'nervous system process']",None,0.28090713333333334
None,None,None,0.34983486666666663
"['nucleus', 'chromosome', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'cell differentiation', 'anatomical structure development']","['DNA binding', 'transcription regulator activity']",0.13401593333333334
"['cilium', 'organelle']",None,None,0.3586472666666667
"['extracellular region', 'external encapsulating structure', 'extracellular matrix']",['cell adhesion'],['structural molecule activity'],0.22991493333333332
"['nucleus', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription']",None,0.643499
['plasma membrane'],"['signaling', 'anatomical structure development', 'transmembrane transport']",['transporter activity'],0.16604506666666666
None,None,None,0.22110586666666665
"['nucleus', 'chromosome', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'cell differentiation', 'anatomical structure development', 'cell motility', 'nervous system process']","['DNA binding', 'transcription regulator activity']",0.05860006666666668
"['cytosol', 'plasma membrane', 'organelle']",['anatomical structure development'],None,0.22368526666666672
['plasma membrane'],"['signaling', 'nervous system process']",['molecular transducer activity'],0.20462013333333337
"['cytoplasmic vesicle', 'organelle']",['protein modification process'],"['catalytic activity', 'transferase activity', 'catalytic activity, acting on a protein']",0.1631134
['extracellular region'],None,None,0.0978224
None,['transmembrane transport'],['transporter activity'],0.2906744
"['endoplasmic reticulum', 'organelle']",['transmembrane transport'],"['catalytic activity', 'oxidoreductase activity']",0.08906186666666668
['cytosol'],"['carbohydrate metabolic process', 'generation of precursor metabolites and energy', 'nucleobase-containing small molecule metabolic process', 'carbohydrate derivative metabolic process']","['catalytic activity', 'lyase activity']",0.3005837333333334
None,None,None,0.3105334666666667
['organelle'],"['reproductive process', 'cell differentiation', 'anatomical structure development']",['RNA binding'],0.4648818666666667
None,None,None,0.35186166666666663
"['microtubule organizing center', 'cytoskeleton', 'plasma membrane', 'cilium', 'organelle']",None,None,0.25535040000000003
None,None,None,0.5250541333333333
None,"['signaling', 'cell differentiation', 'anatomical structure development', 'membrane organization']","['catalytic activity', 'isomerase activity']",0.24993693333333336
"['microtubule organizing center', 'cytoskeleton', 'cilium', 'organelle']",None,None,0.2606156666666667
['cytosol'],"['protein catabolic process', 'regulatory ncRNA-mediated gene silencing', 'protein modification process']",['molecular adaptor activity'],0.04492246666666667
"['nucleus', 'nucleoplasm', 'nucleolus', 'endosome', 'endoplasmic reticulum', 'Golgi apparatus', 'cytosol', 'cytoskeleton', 'cytoplasmic vesicle', 'organelle']","['signaling', 'cell differentiation', 'anatomical structure development', 'cell motility']","['lipid binding', 'molecular function regulator activity']",0.18568526666666665
['plasma membrane'],"['signaling', 'transmembrane transport']",['transporter activity'],0.24586866666666665
None,"['immune system process', 'signaling', 'defense response to other organism']",None,0.2690884
"['nucleus', 'organelle']","['anatomical structure development', 'nervous system process']",None,0.06824653333333335
"['nucleus', 'nuclear envelope', 'nucleoplasm', 'endoplasmic reticulum', 'organelle']","['intracellular protein transport', 'nucleocytoplasmic transport']",['structural molecule activity'],0.33012626666666667
None,None,None,0.6873138666666667
"['extracellular region', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']",['transmembrane transport'],"['catalytic activity', 'transporter activity', 'hydrolase activity', 'catalytic activity, acting on a protein']",0.28132266666666667
"['nucleus', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription']","['DNA binding', 'transcription regulator activity']",0.3434032666666667
"['plasma membrane', 'cilium', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'intracellular protein transport', 'nucleocytoplasmic transport', 'signaling']",None,0.21339973333333334
"['microtubule organizing center', 'cytosol', 'cytoskeleton', 'organelle']",None,None,0.5703234
None,['ribosome biogenesis'],"['catalytic activity', 'hydrolase activity', 'catalytic activity, acting on RNA']",0.34340793333333336
None,['carbohydrate metabolic process'],"['catalytic activity', 'hydrolase activity']",0.253494
None,['protein modification process'],"['catalytic activity', 'hydrolase activity', 'catalytic activity, acting on a protein']",0.6698308
"['extracellular region', 'extracellular space', 'plasma membrane', 'organelle']",['anatomical structure development'],None,0.4326052666666667
"['endosome', 'cytosol', 'cytoskeleton', 'cytoplasmic vesicle', 'organelle']","['vesicle-mediated transport', 'signaling', 'protein modification process']","['catalytic activity', 'transferase activity', 'catalytic activity, acting on a protein']",0.15477173333333333
None,None,None,0.12786926666666668
None,None,None,0.5590676
"['cytoskeleton', 'cilium', 'organelle']",None,None,0.3981728
"['cytoskeleton', 'plasma membrane', 'cilium', 'cytoplasmic vesicle', 'organelle']","['signaling', 'nervous system process']","['catalytic activity', 'GTPase activity', 'hydrolase activity']",0.04423826666666667
"['nucleus', 'organelle']","['immune system process', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'cell differentiation', 'anatomical structure development']","['DNA binding', 'transcription regulator activity']",0.27190620000000004
"['nuclear chromosome', 'nucleus', 'chromosome', 'organelle']","['DNA recombination', 'chromosome segregation', 'reproductive process', 'protein modification process', 'meiotic nuclear division']","['catalytic activity', 'transferase activity', 'catalytic activity, acting on a protein']",0.2504287333333333
"['mitochondrion', 'organelle']",None,None,0.2736498
"['cytosol', 'plasma membrane', 'cilium', 'organelle']",['cilium organization'],None,0.1455156
None,None,None,0.8660445999999999
"['nucleus', 'microtubule organizing center', 'cytoskeleton', 'organelle']","['circulatory system process', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'cytoskeleton organization', 'anatomical structure development']",['cytoskeletal protein binding'],0.4938704666666666
"['extracellular region', 'extracellular space']",None,['molecular function regulator activity'],0.47542546666666674
None,None,None,0.23195166666666667
"['nucleus', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription']",None,0.13816253333333334
None,None,None,0.4142674
None,None,None,0.09103166666666666
